"Var1"	"Var2"	"value"
"101"	"Bacteroidetes"	"Delta_7_avg"	-0.103016952098421
"102"	"Bacteroidia"	"Delta_7_avg"	-0.103016952098421
"103"	"Bacteroidales"	"Delta_7_avg"	-0.103016952098421
"104"	"Prevotellaceae"	"Delta_7_avg"	0.13097869623942
"105"	"Prevotella"	"Delta_7_avg"	0.13097869623942
"106"	"Collinsella"	"Delta_7_avg"	0.302055527226765
"107"	"Bacteroides"	"Delta_7_avg"	-0.0279617441409999
"108"	"Bacilli"	"Delta_7_avg"	-0.292862478108367
"109"	"Eubacterium"	"Delta_7_avg"	-0.110456553755523
"110"	"Alpha_1_avg"	"Delta_8_avg"	1
"111"	"Alpha_9_avg"	"Delta_8_avg"	-1
"112"	"Delta_7_avg"	"Delta_8_avg"	1
"113"	"Undefined_avg"	"Delta_8_avg"	-0.5
"114"	"Bacteroidetes"	"Delta_8_avg"	0.5
"115"	"Bacteroidia"	"Delta_8_avg"	0.5
"116"	"Bacteroidales"	"Delta_8_avg"	0.5
"117"	"Prevotellaceae"	"Delta_8_avg"	0.5
"118"	"Prevotella"	"Delta_8_avg"	0.5
"119"	"Collinsella"	"Delta_8_avg"	-1
"120"	"Bacteroides"	"Delta_8_avg"	-0.5
"121"	"Bacilli"	"Delta_8_avg"	-0.5
"122"	"Eubacterium"	"Delta_8_avg"	1
"123"	"Alpha_1_avg"	"Gamma_2_avg"	1
"124"	"Alpha_3_avg"	"Gamma_2_avg"	1
"125"	"Alpha_4_avg"	"Gamma_2_avg"	-1
"126"	"Beta_6_avg"	"Gamma_2_avg"	0.5
"127"	"Delta_10_avg"	"Gamma_2_avg"	0.6
"128"	"Delta_7_avg"	"Gamma_2_avg"	0.8
"129"	"Undefined_avg"	"Gamma_2_avg"	0.5
"130"	"Bacteroidetes"	"Gamma_2_avg"	-0.6
"131"	"Bacteroidia"	"Gamma_2_avg"	-0.6
"132"	"Bacteroidales"	"Gamma_2_avg"	-0.6
"133"	"Prevotellaceae"	"Gamma_2_avg"	-0.8
"134"	"Prevotella"	"Gamma_2_avg"	-0.8
"135"	"Collinsella"	"Gamma_2_avg"	0.5
"136"	"Bacteroides"	"Gamma_2_avg"	1
"137"	"Bacilli"	"Gamma_2_avg"	-0.2
"138"	"Eubacterium"	"Gamma_2_avg"	0.3
"139"	"Alpha_1_avg"	"Undefined_avg"	0.8
"140"	"Alpha_3_avg"	"Undefined_avg"	0.5
"141"	"Alpha_4_avg"	"Undefined_avg"	-0.6
"142"	"Alpha_9_avg"	"Undefined_avg"	0.359092423229804
"143"	"Beta_6_avg"	"Undefined_avg"	0.9
"144"	"Delta_10_avg"	"Undefined_avg"	-0.0285714285714286
"145"	"Delta_7_avg"	"Undefined_avg"	0.0958101009530607
"146"	"Delta_8_avg"	"Undefined_avg"	-0.5
"147"	"Gamma_2_avg"	"Undefined_avg"	0.5
"148"	"Bacteroidetes"	"Undefined_avg"	0.0502288341474945
"149"	"Bacteroidia"	"Undefined_avg"	0.0502288341474945
"150"	"Bacteroidales"	"Undefined_avg"	0.0502288341474945
"151"	"Prevotellaceae"	"Undefined_avg"	0.0273975458986334
"152"	"Prevotella"	"Undefined_avg"	0.0273975458986334
"153"	"Collinsella"	"Undefined_avg"	0.121953486663821
"154"	"Bacteroides"	"Undefined_avg"	-0.0365300611981778
"155"	"Bacilli"	"Undefined_avg"	-0.237445397788156
"156"	"Eubacterium"	"Undefined_avg"	0.61098558139379
"157"	"Alpha_1_avg"	"Bacteroidetes"	0.5
"158"	"Alpha_3_avg"	"Bacteroidetes"	-0.464285714285714
"159"	"Alpha_4_avg"	"Bacteroidetes"	0.571428571428571
"160"	"Alpha_9_avg"	"Bacteroidetes"	-1
"161"	"Beta_6_avg"	"Bacteroidetes"	-0.736408119705036
"162"	"Delta_10_avg"	"Bacteroidetes"	-0.109090909090909
"163"	"Delta_7_avg"	"Bacteroidetes"	-0.103016952098421
"164"	"Delta_8_avg"	"Bacteroidetes"	0.5
"165"	"Gamma_2_avg"	"Bacteroidetes"	-0.6
"166"	"Undefined_avg"	"Bacteroidetes"	0.0502288341474945
"167"	"Bacteroidia"	"Bacteroidetes"	1
"168"	"Bacteroidales"	"Bacteroidetes"	1
"169"	"Prevotellaceae"	"Bacteroidetes"	0.466233766233766
"170"	"Prevotella"	"Bacteroidetes"	0.466233766233766
"171"	"Collinsella"	"Bacteroidetes"	-0.43609022556391
"172"	"Bacteroides"	"Bacteroidetes"	0.154545454545455
"173"	"Bacilli"	"Bacteroidetes"	-0.564935064935065
"174"	"Eubacterium"	"Bacteroidetes"	0.258609541272712
"175"	"Alpha_1_avg"	"Bacteroidia"	0.5
"176"	"Alpha_3_avg"	"Bacteroidia"	-0.464285714285714
"177"	"Alpha_4_avg"	"Bacteroidia"	0.571428571428571
"178"	"Alpha_9_avg"	"Bacteroidia"	-1
"179"	"Beta_6_avg"	"Bacteroidia"	-0.736408119705036
"180"	"Delta_10_avg"	"Bacteroidia"	-0.109090909090909
"181"	"Delta_7_avg"	"Bacteroidia"	-0.103016952098421
"182"	"Delta_8_avg"	"Bacteroidia"	0.5
"183"	"Gamma_2_avg"	"Bacteroidia"	-0.6
"184"	"Undefined_avg"	"Bacteroidia"	0.0502288341474945
"185"	"Bacteroidetes"	"Bacteroidia"	1
"186"	"Bacteroidales"	"Bacteroidia"	1
"187"	"Prevotellaceae"	"Bacteroidia"	0.466233766233766
"188"	"Prevotella"	"Bacteroidia"	0.466233766233766
"189"	"Collinsella"	"Bacteroidia"	-0.43609022556391
"190"	"Bacteroides"	"Bacteroidia"	0.154545454545455
