"Var1"	"Var2"	"value"
"106"	"Waist.circumference"	"Alpha_9_avg"	0.9
"107"	"Diastolic.BP"	"Alpha_9_avg"	0.7
"108"	"Glucose"	"Alpha_9_avg"	-0.0512989176042577
"109"	"TG"	"Alpha_9_avg"	0.1
"110"	"HDL"	"Alpha_9_avg"	-0.6
"111"	"Alpha_4_avg"	"Alpha_9_avg"	-1
"112"	"Delta_7_avg"	"Alpha_9_avg"	0.5
"113"	"Delta_8_avg"	"Alpha_9_avg"	-1
"114"	"Undefined_avg"	"Alpha_9_avg"	0.359092423229804
"115"	"Waist.circumference"	"Beta_6_avg"	0.706599494528823
"116"	"Diastolic.BP"	"Beta_6_avg"	-0.0783132530120482
"117"	"Glucose"	"Beta_6_avg"	0.142018606998774
"118"	"HDL"	"Beta_6_avg"	-0.151517934239222
"119"	"Alpha_1_avg"	"Beta_6_avg"	1
"120"	"Alpha_3_avg"	"Beta_6_avg"	1
"121"	"Alpha_4_avg"	"Beta_6_avg"	-0.5
"122"	"Delta_10_avg"	"Beta_6_avg"	0.2
"123"	"Delta_7_avg"	"Beta_6_avg"	0.360374985078224
"124"	"Gamma_2_avg"	"Beta_6_avg"	0.5
"125"	"Undefined_avg"	"Beta_6_avg"	0.9
"126"	"Waist.circumference"	"Delta_10_avg"	-0.109090909090909
"127"	"Diastolic.BP"	"Delta_10_avg"	-0.278541716636106
"128"	"Glucose"	"Delta_10_avg"	0.478062476199886
"129"	"TG"	"Delta_10_avg"	-0.246014305692231
"130"	"HDL"	"Delta_10_avg"	0.159819017742028
"131"	"Alpha_1_avg"	"Delta_10_avg"	-0.5
"132"	"Alpha_3_avg"	"Delta_10_avg"	-0.5
"133"	"Alpha_4_avg"	"Delta_10_avg"	1
"134"	"Beta_6_avg"	"Delta_10_avg"	0.2
"135"	"Delta_7_avg"	"Delta_10_avg"	-0.455097979527038
"136"	"Gamma_2_avg"	"Delta_10_avg"	0.6
"137"	"Undefined_avg"	"Delta_10_avg"	-0.0285714285714286
"138"	"Waist.circumference"	"Delta_7_avg"	0.137622932523437
"139"	"Diastolic.BP"	"Delta_7_avg"	0.187108400854876
"140"	"Glucose"	"Delta_7_avg"	-0.186907540901879
"141"	"TG"	"Delta_7_avg"	0.262075134168157
"142"	"HDL"	"Delta_7_avg"	-0.386548484362306
"143"	"Alpha_1_avg"	"Delta_7_avg"	0.8
"144"	"Alpha_3_avg"	"Delta_7_avg"	0.542857142857143
"145"	"Alpha_4_avg"	"Delta_7_avg"	-0.392857142857143
"146"	"Alpha_9_avg"	"Delta_7_avg"	0.5
"147"	"Beta_6_avg"	"Delta_7_avg"	0.360374985078224
"148"	"Delta_10_avg"	"Delta_7_avg"	-0.455097979527038
"149"	"Delta_8_avg"	"Delta_7_avg"	1
"150"	"Gamma_2_avg"	"Delta_7_avg"	0.8
"151"	"Undefined_avg"	"Delta_7_avg"	0.0958101009530607
"152"	"Waist.circumference"	"Delta_8_avg"	-1
"153"	"Diastolic.BP"	"Delta_8_avg"	-1
"154"	"Glucose"	"Delta_8_avg"	-0.866025403784439
"155"	"TG"	"Delta_8_avg"	0.5
"156"	"HDL"	"Delta_8_avg"	0.5
"157"	"Alpha_1_avg"	"Delta_8_avg"	1
"158"	"Alpha_9_avg"	"Delta_8_avg"	-1
"159"	"Delta_7_avg"	"Delta_8_avg"	1
"160"	"Undefined_avg"	"Delta_8_avg"	-0.5
"161"	"Waist.circumference"	"Gamma_2_avg"	0.9
"162"	"Diastolic.BP"	"Gamma_2_avg"	-0.5
"163"	"Glucose"	"Gamma_2_avg"	0.102597835208515
"164"	"TG"	"Gamma_2_avg"	0.1
"165"	"HDL"	"Gamma_2_avg"	-0.7
"166"	"Alpha_1_avg"	"Gamma_2_avg"	1
"167"	"Alpha_3_avg"	"Gamma_2_avg"	1
