	chao1	observed_otus	shannon	simpson	goods_coverage
1000_O-418	1.0	1.0	-0.0	0.0	1.0
100_O-418	1.0	1.0	-0.0	0.0	1.0
101_O-418	1.0	1.0	-0.0	0.0	1.0
102_O-418	1.0	1.0	-0.0	0.0	1.0
103_O-418	1.0	1.0	-0.0	0.0	1.0
104_O-418	1.0	1.0	-0.0	0.0	1.0
105_O-418	1.0	1.0	-0.0	0.0	1.0
106_O-418	1.0	1.0	-0.0	0.0	1.0
107_O-418	1.0	1.0	-0.0	0.0	1.0
108_O-418	1.0	1.0	-0.0	0.0	1.0
109_O-418	1.0	1.0	-0.0	0.0	1.0
10_O-418	1.0	1.0	-0.0	0.0	1.0
110_O-418	1.0	1.0	-0.0	0.0	1.0
111_O-418	1.0	1.0	-0.0	0.0	1.0
112_O-418	1.0	1.0	-0.0	0.0	1.0
113_O-418	1.0	1.0	-0.0	0.0	1.0
114_O-418	1.0	1.0	-0.0	0.0	1.0
115_O-418	1.0	1.0	-0.0	0.0	1.0
116_O-418	1.0	1.0	-0.0	0.0	1.0
117_O-418	1.0	1.0	-0.0	0.0	1.0
118_O-418	1.0	1.0	-0.0	0.0	1.0
119_O-418	1.0	1.0	-0.0	0.0	1.0
11_O-418	1.0	1.0	-0.0	0.0	1.0
120_O-418	1.0	1.0	-0.0	0.0	1.0
121_O-418	1.0	1.0	-0.0	0.0	1.0
122_O-418	1.0	1.0	-0.0	0.0	1.0
123_O-418	1.0	1.0	-0.0	0.0	1.0
124_O-418	1.0	1.0	-0.0	0.0	1.0
125_O-418	1.0	1.0	-0.0	0.0	1.0
126_O-418	1.0	1.0	-0.0	0.0	1.0
127_O-418	1.0	1.0	-0.0	0.0	1.0
128_O-418	1.0	1.0	-0.0	0.0	1.0
129_O-418	1.0	1.0	-0.0	0.0	1.0
12_O-418	1.0	1.0	-0.0	0.0	1.0
130_O-418	1.0	1.0	-0.0	0.0	1.0
131_O-418	1.0	1.0	-0.0	0.0	1.0
132_O-418	1.0	1.0	-0.0	0.0	1.0
133_O-418	1.0	1.0	-0.0	0.0	1.0
