	H-10	H-118	H-119	H-120	H-193	H-314	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	OMC-125	OMC-126	OMC-288	OMC-446
H-10	0.0	1.0	0.8181818181818182	1.0	1.0	1.0	1.0	1.0	0.6363636363636364	0.8409090909090909	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
H-118	1.0	0.0	1.0	1.0	1.0	0.9772727272727273	0.8181818181818182	0.9772727272727273	0.9772727272727273	0.8409090909090909	0.8863636363636364	1.0	1.0	1.0	1.0	1.0	0.9772727272727273	0.7727272727272727
H-119	0.8181818181818182	1.0	0.0	1.0	1.0	0.9772727272727273	1.0	1.0	0.8863636363636364	0.9318181818181818	1.0	0.9772727272727273	0.9772727272727273	1.0	1.0	0.9772727272727273	0.9772727272727273	1.0
H-120	1.0	1.0	1.0	0.0	0.9772727272727273	1.0	1.0	1.0	0.9772727272727273	0.9772727272727273	1.0	1.0	1.0	0.9772727272727273	0.9318181818181818	1.0	1.0	1.0
H-193	1.0	1.0	1.0	0.9772727272727273	0.0	1.0	0.9090909090909091	1.0	1.0	0.9545454545454546	1.0	1.0	1.0	1.0	1.0	1.0	0.7727272727272727	0.9318181818181818
H-314	1.0	0.9772727272727273	0.9772727272727273	1.0	1.0	0.0	0.9772727272727273	1.0	1.0	1.0	1.0	0.7045454545454546	0.5909090909090909	1.0	1.0	0.9318181818181818	0.75	0.9772727272727273
O-121	1.0	0.8181818181818182	1.0	1.0	0.9090909090909091	0.9772727272727273	0.0	1.0	0.9772727272727273	0.7727272727272727	1.0	1.0	1.0	1.0	1.0	1.0	0.7954545454545454	0.7272727272727273
O-122	1.0	0.9772727272727273	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.9772727272727273	1.0	0.9772727272727273	1.0	1.0	1.0	1.0	0.9772727272727273
O-123	0.6363636363636364	0.9772727272727273	0.8863636363636364	0.9772727272727273	1.0	1.0	0.9772727272727273	1.0	0.0	0.8409090909090909	1.0	1.0	1.0	0.9772727272727273	1.0	1.0	1.0	1.0
O-152	0.8409090909090909	0.8409090909090909	0.9318181818181818	0.9772727272727273	0.9545454545454546	1.0	0.7727272727272727	1.0	0.8409090909090909	0.0	1.0	1.0	1.0	1.0	0.7727272727272727	1.0	0.9090909090909091	0.8863636363636364
O-39	1.0	0.8863636363636364	1.0	1.0	1.0	1.0	1.0	0.9772727272727273	1.0	1.0	0.0	1.0	1.0	1.0	0.9772727272727273	0.9772727272727273	1.0	0.38636363636363635
O-418	1.0	1.0	0.9772727272727273	1.0	1.0	0.7045454545454546	1.0	1.0	1.0	1.0	1.0	0.0	0.4090909090909091	1.0	1.0	0.9090909090909091	0.7045454545454546	1.0
O-420	1.0	1.0	0.9772727272727273	1.0	1.0	0.5909090909090909	1.0	0.9772727272727273	1.0	1.0	1.0	0.4090909090909091	0.0	1.0	1.0	0.9090909090909091	0.6590909090909091	1.0
O-434	1.0	1.0	1.0	0.9772727272727273	1.0	1.0	1.0	1.0	0.9772727272727273	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.9545454545454546	1.0
OMC-125	1.0	1.0	1.0	0.9318181818181818	1.0	1.0	1.0	1.0	1.0	0.7727272727272727	0.9772727272727273	1.0	1.0	1.0	0.0	0.9772727272727273	1.0	1.0
OMC-126	1.0	1.0	0.9772727272727273	1.0	1.0	0.9318181818181818	1.0	1.0	1.0	1.0	0.9772727272727273	0.9090909090909091	0.9090909090909091	1.0	0.9772727272727273	0.0	0.9318181818181818	1.0
OMC-288	1.0	0.9772727272727273	0.9772727272727273	1.0	0.7727272727272727	0.75	0.7954545454545454	1.0	1.0	0.9090909090909091	1.0	0.7045454545454546	0.6590909090909091	0.9545454545454546	1.0	0.9318181818181818	0.0	0.8636363636363636
OMC-446	1.0	0.7727272727272727	1.0	1.0	0.9318181818181818	0.9772727272727273	0.7272727272727273	0.9772727272727273	1.0	0.8863636363636364	0.38636363636363635	1.0	1.0	1.0	1.0	1.0	0.8636363636363636	0.0
