	H-10	H-118	H-119	H-120	H-193	H-314	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	OMC-125	OMC-126	OMC-288	OMC-446
H-10	0.0	1.0	0.8636363636363636	1.0	1.0	1.0	1.0	1.0	0.7333333333333334	0.9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
H-118	1.0	0.0	1.0	1.0	1.0	0.9714285714285714	0.736842105263158	0.9411764705882353	0.972972972972973	0.9090909090909091	0.7894736842105263	1.0	1.0	1.0	1.0	1.0	0.9743589743589743	0.6666666666666667
H-119	0.8636363636363636	1.0	0.0	1.0	1.0	0.975	1.0	1.0	0.868421052631579	0.9210526315789473	1.0	0.9666666666666667	0.9696969696969697	1.0	1.0	0.9565217391304348	0.9772727272727273	1.0
H-120	1.0	1.0	1.0	0.0	0.9615384615384616	1.0	1.0	1.0	0.9736842105263158	0.9722222222222222	1.0	1.0	1.0	0.96	0.8571428571428572	1.0	1.0	1.0
H-193	1.0	1.0	1.0	0.9615384615384616	0.0	1.0	0.8571428571428572	1.0	1.0	0.9411764705882353	1.0	1.0	1.0	1.0	1.0	1.0	0.75	0.88
H-314	1.0	0.9714285714285714	0.975	1.0	1.0	0.0	0.9696969696969697	1.0	1.0	1.0	1.0	0.6666666666666667	0.6551724137931034	1.0	1.0	0.8846153846153846	0.75	0.972972972972973
O-121	1.0	0.736842105263158	1.0	1.0	0.8571428571428572	0.9696969696969697	0.0	1.0	0.9714285714285714	0.7857142857142857	1.0	1.0	1.0	1.0	1.0	1.0	0.7741935483870968	0.5555555555555556
O-122	1.0	0.9411764705882353	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.9285714285714286	1.0	0.95	1.0	1.0	1.0	1.0	0.9473684210526316
O-123	0.7333333333333334	0.972972972972973	0.868421052631579	0.9736842105263158	1.0	1.0	0.9714285714285714	1.0	0.0	0.8571428571428572	1.0	1.0	1.0	0.9722222222222222	1.0	1.0	1.0	1.0
O-152	0.9	0.9090909090909091	0.9210526315789473	0.9722222222222222	0.9411764705882353	1.0	0.7857142857142857	1.0	0.8571428571428572	0.0	1.0	1.0	1.0	1.0	0.7777777777777778	1.0	0.9361702127659575	0.8823529411764706
O-39	1.0	0.7894736842105263	1.0	1.0	1.0	1.0	1.0	0.9285714285714286	1.0	1.0	0.0	1.0	1.0	1.0	0.9473684210526316	0.9333333333333333	1.0	0.6111111111111112
O-418	1.0	1.0	0.9666666666666667	1.0	1.0	0.6666666666666667	1.0	1.0	1.0	1.0	1.0	0.0	0.2941176470588235	1.0	1.0	0.7333333333333334	0.7096774193548387	1.0
O-420	1.0	1.0	0.9696969696969697	1.0	1.0	0.6551724137931034	1.0	0.95	1.0	1.0	1.0	0.2941176470588235	0.0	1.0	1.0	0.7777777777777778	0.696969696969697	1.0
O-434	1.0	1.0	1.0	0.96	1.0	1.0	1.0	1.0	0.9722222222222222	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.9459459459459459	1.0
OMC-125	1.0	1.0	1.0	0.8571428571428572	1.0	1.0	1.0	1.0	1.0	0.7777777777777778	0.9473684210526316	1.0	1.0	1.0	0.0	0.9333333333333333	1.0	1.0
OMC-126	1.0	1.0	0.9565217391304348	1.0	1.0	0.8846153846153846	1.0	1.0	1.0	1.0	0.9333333333333333	0.7333333333333334	0.7777777777777778	1.0	0.9333333333333333	0.0	0.9	1.0
OMC-288	1.0	0.9743589743589743	0.9772727272727273	1.0	0.75	0.75	0.7741935483870968	1.0	1.0	0.9361702127659575	1.0	0.7096774193548387	0.696969696969697	0.9459459459459459	1.0	0.9	0.0	0.8333333333333334
OMC-446	1.0	0.6666666666666667	1.0	1.0	0.88	0.972972972972973	0.5555555555555556	0.9473684210526316	1.0	0.8823529411764706	0.6111111111111112	1.0	1.0	1.0	1.0	1.0	0.8333333333333334	0.0
