	H-10	H-118	H-119	H-120	H-161	H-193	H-314	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	O-445	OMC-124	OMC-125	OMC-126	OMC-288	OMC-446	OMC-55
H-10	0.0	0.9998239126606797	0.7874082921003241	0.9991825056202739	1.0	1.0	1.0	0.995617731333221	0.9996762706377469	0.3777131349295144	0.7172498100241187	0.9928856311307535	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9966348850252383	0.9995745586045522
H-118	0.9998239126606797	0.0	0.999489860987119	0.999418012512731	1.0	0.952376540350227	0.9877701934015927	0.7737974866387405	0.994606521206178	0.987177138670086	0.8968586225075201	0.8740339344407924	0.9997026022304832	0.9997055359246172	1.0	0.9985087980912616	0.9982027856821926	0.9985103530463281	0.9994044960547863	0.9831095112834003	0.791292001893043	1.0
H-119	0.7874082921003241	0.999489860987119	0.0	1.0	1.0	1.0	0.9765472312703583	0.9997604503533357	0.9984968057121383	0.8081534772182254	0.948785046728972	0.9951388888888889	0.9788273615635179	0.9752895752895753	1.0	1.0	1.0	1.0	0.9950819672131147	0.9791425260718424	1.0	1.0
H-120	0.9991825056202739	0.999418012512731	1.0	0.0	0.9534883720930233	0.9755083179297597	1.0	0.998645170031161	0.9988186650915535	0.9941612396137436	0.9993018384919712	0.996661101836394	1.0	1.0	0.9662921348314607	0.991701244813278	1.0	0.9274193548387096	0.9761904761904762	0.9841688654353562	0.9996780943183647	1.0
H-161	1.0	1.0	1.0	0.9534883720930233	0.0	1.0	1.0	1.0	1.0	0.9948356807511737	1.0	1.0	1.0	1.0	0.901840490797546	1.0	1.0	1.0	1.0	0.9646017699115044	1.0	1.0
H-193	1.0	0.952376540350227	1.0	0.9755083179297597	1.0	0.0	0.9839536438600401	0.9536324219095655	0.9957242116515232	0.991400931565747	0.982694768029089	0.9983930211202938	1.0	1.0	1.0	0.9831771208844028	0.9970958373668926	0.9990403071017274	1.0	0.9362975630611372	0.9494720221059904	1.0
H-314	1.0	0.9877701934015927	0.9765472312703583	1.0	1.0	0.9839536438600401	0.0	0.9885941644562334	0.9859611231101512	0.9917606244579358	0.9971473728846229	0.9802060189860634	0.7326968973747017	0.5185185185185185	1.0	0.995	0.9838274932614556	0.995085995085995	0.9708029197080292	0.5899672846237731	0.9874450721908349	1.0
O-121	0.995617731333221	0.7737974866387405	0.9997604503533357	0.998645170031161	1.0	0.9536324219095655	0.9885941644562334	0.0	0.9958458342949458	0.9877472431297042	0.7782933903220882	0.9957501062473438	1.0	1.0	1.0	1.0	0.998329853862213	0.997507270461155	1.0	0.9855128702625793	0.8487790080388291	1.0
O-122	0.9996762706377469	0.994606521206178	0.9984968057121383	0.9988186650915535	1.0	0.9957242116515232	0.9859611231101512	0.9958458342949458	0.0	0.9968630184733357	0.9988916392655263	0.9967089024189567	1.0	0.9987593052109182	1.0	0.9986893840104849	0.9986639946559787	1.0	0.9986987638256344	0.9892315222711698	0.9949319818618299	1.0
O-123	0.3777131349295144	0.987177138670086	0.8081534772182254	0.9941612396137436	0.9948356807511737	0.991400931565747	0.9917606244579358	0.9877472431297042	0.9968630184733357	0.0	0.8028631776578268	0.9997736788502886	1.0	1.0	0.9927289252442627	1.0	0.9995301855766971	1.0	1.0	0.9691859254632521	0.9863521154221095	0.999530626613471
