sample	Alpha_sum	Beta_sum	Delta_sum	Gamma_sum	Undefined_sum	Alpha_avg	Beta_avg	Delta_avg	Gamma_avg	Undefined_avg	Bacteroidetes	Firmicutes	Proteobacteria	Coriobacteriia	Bacteroidia	Bacilli	Clostridia	Erysipelotrichi	Coriobacteriales	Bacteroidales	Clostridiales	Erysipelotrichales	Coriobacteriaceae	Erysipelotrichaceae	Collinsella	Porphyromonas	Coprococcus	Faecalibacterium	Phascolarctobacterium	Catenibacterium	Bifidobacterium adolescentis	Collinsella aerofaciens	Parabacteroides distasonis	Porphyromonas sp.	Faecalibacterium prausnitzii	Phascolarctobacterium sp.	Catenibacterium sp.
O-39	0.477121255	0.602059991	3.653309013	1.799340549	1.230448921	-1.544068044	-0.574031268	1.802050664	0.720159303	0.531478917	-1.81E-01	-5.13E-01	-1.69E+00	-2.58E+00	-1.81E-01	-3.66E+00	-5.43E-01	-1.69E+00	-2.58E+00	-1.81E-01	-5.44E-01	-1.69E+00	-2.58E+00	-1.69E+00	-2.58E+00	-4.11E+00	-1.70E+00	-1.20E+00	-2.33E+00	-4.53E+00	-4.92E+00	-2.58E+00	-2.79E+00	-4.11E+00	-1.20E+00	-2.33E+00	-4.53E+00
O-418	NA	NA	1.748188027	NA	NA	NA	NA	-0.103070322	NA	NA	-8.49E-02	-9.47E-01	-1.27E+00	-4.57E+00	-8.51E-02	-2.78E+00	-9.55E-01	-3.14E+00	-4.57E+00	-8.49E-02	-9.55E-01	-3.14E+00	-4.57E+00	-3.14E+00	-4.57E+00	NA	-2.16E+00	-2.58E+00	-4.21E+00	NA	-4.17E+00	-4.57E+00	-2.36E+00	NA	-2.58E+00	-4.21E+00	NA
O-420	0	NA	2.086359831	NA	NA	-2.021189299	NA	0.235101482	NA	NA	-1.97E-01	-4.56E-01	-2.00E+00	-3.01E+00	-1.97E-01	-3.39E+00	-4.64E-01	-2.22E+00	-3.01E+00	-1.97E-01	-4.63E-01	-2.22E+00	-3.01E+00	-2.22E+00	-3.01E+00	NA	-2.14E+00	-1.17E+00	-2.26E+00	NA	-4.50E+00	-3.01E+00	-2.18E+00	NA	-1.17E+00	-2.26E+00	NA
O-434	0.903089987	NA	2.117271296	NA	1.113943352	-1.118099312	NA	0.266012947	NA	0.414973348	-2.11E-01	-4.52E-01	-1.52E+00	-3.35E+00	-2.11E-01	-2.85E+00	-4.56E-01	-2.73E+00	-3.35E+00	-2.11E-01	-4.56E-01	-2.73E+00	-3.35E+00	-2.73E+00	-3.35E+00	NA	-2.43E+00	-1.03E+00	-4.53E+00	NA	-4.31E+00	-3.35E+00	-3.75E+00	NA	-1.03E+00	-4.53E+00	NA
O-445	NA	NA	1.568201724	NA	NA	NA	NA	-0.283056625	NA	NA	-6.14E-01	-1.80E-01	-1.08E+00	-2.87E+00	-6.14E-01	-2.78E+00	-1.85E-01	-2.23E+00	-2.87E+00	-6.14E-01	-1.85E-01	-2.23E+00	-2.87E+00	-2.23E+00	-2.87E+00	-4.64E+00	-1.87E+00	-8.64E-01	-4.04E+00	NA	-2.87E+00	-2.87E+00	-3.18E+00	-4.64E+00	-8.64E-01	-4.04E+00	NA
OMC-124	NA	0.301029996	0.77815125	NA	NA	NA	-0.875061263	-1.073107098	NA	NA	-7.58E-02	-8.50E-01	-1.88E+00	-3.49E+00	-7.58E-02	-3.95E+00	-8.57E-01	-2.68E+00	-3.49E+00	-7.58E-02	-8.57E-01	-2.68E+00	-3.49E+00	-2.68E+00	-3.49E+00	NA	-2.69E+00	-1.48E+00	-1.68E+00	NA	-4.91E+00	-3.49E+00	-3.37E+00	NA	-1.48E+00	-1.68E+00	NA
OMC-125	1.477121255	NA	1.146128036	NA	NA	-0.544068044	NA	-0.705130313	NA	NA	-3.71E-01	-3.78E-01	-8.97E-01	-3.47E+00	-3.70E-01	-3.07E+00	-3.85E-01	-2.28E+00	-3.47E+00	-3.71E-01	-3.85E-01	-2.28E+00	-3.47E+00	-2.28E+00	-3.47E+00	NA	-2.29E+00	-1.51E+00	-2.28E+00	-4.84E+00	-2.56E+00	-3.47E+00	-3.79E+00	NA	-1.51E+00	-2.28E+00	-4.84E+00
OMC-126	NA	NA	1.681241237	NA	NA	NA	NA	-0.170017111	NA	NA	-3.94E-01	-2.80E-01	-1.55E+00	-2.56E+00	-3.94E-01	-2.46E+00	-3.14E-01	-1.44E+00	-2.56E+00	-3.94E-01	-3.14E-01	-1.44E+00	-2.56E+00	-1.44E+00	-2.56E+00	-4.19E+00	-1.53E+00	-1.30E+00	-4.25E+00	-1.92E+00	-1.72E+00	-2.56E+00	-3.38E+00	-4.19E+00	-1.30E+00	-4.25E+00	-1.92E+00
OMC-288	2.136720567	1	2.598790507	NA	1	0.115531268	-0.176091259	0.747532158	NA	0.301029996	-2.94E-01	-3.60E-01	-1.28E+00	-3.13E+00	-2.94E-01	-3.02E+00	-3.67E-01	-2.22E+00	-3.13E+00	-2.94E-01	-3.67E-01	-2.22E+00	-3.13E+00	-2.22E+00	-3.13E+00	NA	-1.82E+00	-1.02E+00	-1.93E+00	-3.61E+00	NA	-3.13E+00	-4.58E+00	NA	-1.02E+00	-1.93E+00	-3.61E+00
OMC-446	NA	NA	3.777136713	1.278753601	0.602059991	NA	NA	1.925878364	0.199572355	-0.096910013	-4.50E-01	-2.30E-01	-1.65E+00	-2.15E+00	-4.50E-01	-2.89E+00	-2.37E-01	-2.10E+00	-2.15E+00	-4.50E-01	-2.37E-01	-2.10E+00	-2.15E+00	-2.10E+00	-2.15E+00	-4.56E+00	-1.65E+00	-1.56E+00	-3.63E+00	NA	-1.85E+00	-2.15E+00	-3.03E+00	-4.56E+00	-1.56E+00	-3.63E+00	NA
