sample	sum	avg
H-10	4689	22.4354
H-118	6669	31.9091
H-119	1172	5.60766
H-120	204	0.976077
H-161	11	0.0526316
H-193	4124	19.7321
H-314	363	1.73684
O-121	7177	34.3397
O-122	1489	7.1244
O-123	4249	20.3301
O-152	25578	122.383
O-39	4588	21.9522
O-418	56	0.267943
O-420	123	0.588517
O-434	152	0.727273
O-445	37	0.177033
OMC-124	8	0.0382775
OMC-125	44	0.210526
OMC-126	48	0.229665
OMC-288	554	2.65072
OMC-446	6009	28.7512
OMC-55	12	0.0574163
