#OTU ID	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Firmicutes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__Actinobacteria;c__Coriobacteriia	k__Bacteria;p__Bacteroidetes;c__Bacteroidia	k__Bacteria;p__Firmicutes;c__Bacilli	k__Bacteria;p__Firmicutes;c__Clostridia	k__Bacteria;p__Firmicutes;c__Erysipelotrichi	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__adolescentis	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__aerofaciens	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__distasonis	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium;s__	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium;s__
288	0.5079058854200609	0.4367855047904576	0.05214104151730431	0.0007430098416215864	0.5079058854200609	0.0009646092680701296	0.4298377110082768	0.00598318451411067	0.0007430098416215864	0.5079058854200609	0.4298377110082768	0.00598318451411067	0.0007430098416215864	0.00598318451411067	0.0007430098416215864	0.0	0.015173043081535558	0.09539203545590824	0.011783875382910773	0.00024766994720719544	0.0	0.0007430098416215864	2.6070520758652152e-05	0.0	0.09539203545590824	0.011783875382910773	0.00024766994720719544
197	0.4599426406246728	0.4742929514957398	0.05525550042914862	0.002103874897946367	0.4599426406246728	0.013847892984990267	0.43951097992421856	0.020934078586531013	0.002103874897946367	0.4599426406246728	0.43951097992421856	0.020934078586531013	0.002103874897946367	0.020934078586531013	0.002103874897946367	0.0	0.0099227532500157	0.026303669743976216	2.0934078586531013e-05	0.0	0.0023236827231049423	0.002103874897946367	0.0029412380414076075	0.0	0.026303669743976216	2.0934078586531013e-05	0.0
165	0.6860485103996093	0.29330607148996257	0.01307301891742738	0.0005428243149104792	0.6860485103996093	0.0004885418834194312	0.29184044583970425	0.0009770837668388627	0.0005428243149104792	0.6860485103996093	0.29184044583970425	0.0009770837668388627	0.0005428243149104792	0.0009770837668388627	0.0005428243149104792	0.0	0.0032298046737173508	0.023051939239865017	0.00015380022255796912	0.0	7.237657532139723e-05	0.0005428243149104792	0.0009408954791781639	0.0	0.023051939239865017	0.00015380022255796912	0.0
087	0.5187510920845713	0.4502610082124761	0.025167088939367463	0.0006388694740520706	0.5187510920845713	0.0019056875764459202	0.4408035558273634	0.007551764808666782	0.0006388694740520706	0.5187510920845713	0.4408035558273634	0.007551764808666782	0.0006388694740520706	0.007551764808666782	0.0006388694740520706	0.0	0.02284094880307531	0.07784378822295997	0.004275511095579242	0.0019384501135767953	0.0016599685479643544	0.0006388694740520706	0.00036038790843962956	0.0	0.07784378822295997	0.004275511095579242	0.0019384501135767953
258	0.4037040899688865	0.5245997809876408	0.028441188228954827	0.0027333089986268273	0.4037040899688865	0.003441622777285289	0.48489944551633046	0.036258712694025835	0.0027333089986268273	0.4037040899688865	0.48489944551633046	0.036258712694025835	0.0027333089986268273	0.036258712694025835	0.0027333089986268273	6.518224956979715e-05	0.029827397403139177	0.05065964436564636	5.6491282960490866e-05	0.011945733604491492	0.019254836522918078	0.0027333089986268273	0.0004171663972467018	6.518224956979715e-05	0.05065964436564636	5.6491282960490866e-05	0.011945733604491492
124	0.839844573071727	0.14135917998041667	0.013255909074007512	0.0003222567890829315	0.839844573071727	0.00011155042699024553	0.13914676317844346	0.0021008663749829577	0.0003222567890829315	0.839844573071727	0.13914676317844346	0.0021008663749829577	0.0003222567890829315	0.0021008663749829577	0.0003222567890829315	0.0	0.0020450911614878346	0.03321104101337366	0.02097148027416616	0.0	1.239449188780506e-05	0.0003222567890829315	0.00042760997012927457	0.0	0.03321104101337366	0.02097148027416616	0.0
024	0.4039408164138857	0.5601752108094211	0.03033372808081384	4.280394367001013e-05	0.4039408164138857	0.00015694779345670382	0.55568079672407	0.004337466291894359	4.280394367001013e-05	0.4039408164138857	0.55568079672407	0.004337466291894359	4.280394367001013e-05	0.004337466291894359	4.280394367001013e-05	0.00024255568079672407	0.014952844322056874	0.060695992124074366	0.0001426798122333671	1.426798122333671e-05	0.0022400730520638636	4.280394367001013e-05	0.0009987586856335696	0.00024255568079672407	0.060695992124074366	0.0001426798122333671	1.426798122333671e-05
064	0.252870482448556	0.6266557150268016	0.04233961611620266	0.0014265951928065018	0.252870482448556	0.00379560781601245	0.6158481756873585	0.007011931523430745	0.0014265951928065018	0.252870482448556	0.6158481756873585	0.007011931523430745	0.0014265951928065018	0.007011931523430745	0.0014265951928065018	0.0	0.007599861663496454	0.018744596230330274	0.00012104444060176379	0.004340307798720387	0.05871519972332699	0.0014265951928065018	0.0002593809441466367	0.0	0.018744596230330274	0.00012104444060176379	0.004340307798720387
147	0.35528773864309454	0.5723257544690994	0.010434227912698777	0.0002506037271608876	0.35528773864309454	0.0041463525766619585	0.5650430582767572	0.0031363436156801993	0.0002506037271608876	0.35528773864309454	0.5650430582767572	0.0031363436156801993	0.0002506037271608876	0.0031363436156801993	0.0002506037271608876	0.0	0.01647909357391291	0.08609377135827218	0.00022022751780805273	7.594052338208715e-06	0.0001518810467641743	0.0002430096748226789	0.002240245439771571	0.0	0.08609377135827218	0.00022022751780805273	7.594052338208715e-06
146	0.719896686854293	0.2049489371808571	0.05315580097375609	0.0029242370264814157	0.719896686854293	0.0001632822705141907	0.18329177057356588	0.021493884336777104	0.0029242370264814157	0.719896686854293	0.18329177057356588	0.021493884336777104	0.0029242370264814157	0.021493884336777104	0.0029242370264814157	0.0	0.0063531647072794205	0.018554803467521672	0.009277401733760836	0.0	1.4843842774017338e-05	0.0	1.4843842774017338e-05	0.0	0.018554803467521672	0.009277401733760836	0.0
