sample	sum_crasslike	average_crasslike	Bacteroidetes	Firmicutes	Proteobacteria	Coriobacteriia	Bacteroidia	Bacilli	Clostridia	Erysipelotrichi	Coriobacteriales	Bacteroidales	Clostridiales	Erysipelotrichales	Coriobacteriaceae	Erysipelotrichaceae	Collinsella	Porphyromonas	Coprococcus	Faecalibacterium	Phascolarctobacterium	Catenibacterium	Bifidobacterium adolescentis	Collinsella aerofaciens	Parabacteroides distasonis	Porphyromonas sp.	Faecalibacterium prausnitzii	Phascolarctobacterium sp.	Catenibacterium sp.
H-10	3.671080233	1.350933817	-0.108415642	-0.807391851	-1.193596558	-3.698293033	-0.108415642	-4.050609993	-0.808696551	-3.422087896	-3.698293033	-0.108415642	-0.808696551	-3.422087896	-3.698293033	-3.422087896	-3.698293033	NA	-2.57516849	-1.389670218	-4.555955204	-5.254925208	-4.555955204	-3.698293033	-3.047770519	NA	-1.389670218	-4.555955204	-5.254925208
H-118	3.824060717	1.503914555	-0.077563225	-0.820424295	-1.983636993	-3.327537303	-0.077563225	-3.567869659	-0.824496473	-2.942825893	-3.327537303	-0.077563225	-0.824496473	-2.942825893	-3.327537303	-2.942825893	-3.327537303	NA	-2.674325302	-1.798299931	-2.819008121	NA	-4.327902142	-3.327537303	-4.327902142	NA	-1.798299931	-2.819008121	NA
H-119	3.068927612	0.748781674	-0.149623959	-0.564398246	-1.964197969	-3.579026587	-0.149623959	-3.551875189	-0.568439997	-2.648785009	-3.579026587	-0.149623959	-0.568439997	-2.648785009	-3.579026587	-2.648785009	-3.579026587	NA	-2.322977091	-1.391142713	-3.791636587	NA	-4.37161107	-3.579026587	-2.138930958	NA	-1.391142713	-3.791636587	NA
H-120	2.309630167	-0.010515921	-0.163645175	-0.532678948	-1.883624108	-3.265340959	-0.163645175	-3.311098094	-0.53485452	-3.010068098	-3.265340959	-0.163645175	-0.53485452	-3.010068098	-3.265340959	-3.010068098	-3.265340959	NA	-2.490823697	-1.637292538	-3.813043665	NA	-4.140261434	-3.265340959	-3.026458839	NA	-1.637292538	-3.813043665	NA
H-193	3.615318657	1.295173308	-0.070389393	-0.844645079	-2.241674422	NA	-0.070389393	-3.844818878	-0.851911943	-2.651694163	NA	-0.070389393	-0.851911943	-2.651694163	NA	-2.651694163	NA	NA	-2.3146191	-1.677796961	-3.066667628	NA	-4.844663963	NA	-4.367542708	NA	-1.677796961	-3.066667628	NA
H-314	2.559906625	0.239759813	-0.270457827	-0.372528772	-1.549060835	-3.403009469	-0.270457827	-3.788361606	-0.37730609	-2.349027651	-3.403009469	-0.270457827	-0.37730609	-2.349027651	-3.403009469	-2.349027651	-3.403009469	NA	-1.65687914	-1.622522688	-2.399194215	NA	-4.632644079	-3.403009469	-3.679216247	NA	-1.622522688	-2.399194215	NA
O-121	3.855942946	1.535796497	-0.393682262	-0.251676114	-1.518074212	-4.368556231	-0.393682262	-3.804244214	-0.255174611	-2.362763916	-4.368556231	-0.393682262	-0.255174611	-2.362763916	-4.368556231	-2.362763916	-4.368556231	-3.615187978	-1.825276198	-1.216839986	-3.845636899	-4.844663963	-2.649737829	-4.368556231	-3.000539294	-3.615187978	-1.216839986	-3.845636899	-4.844663963
O-122	3.172894698	0.852748295	-0.360989639	-0.291279637	-1.610638474	-3.280382869	-0.360989639	-2.067730645	-0.300683132	-2.620331241	-3.280382869	-0.360989639	-0.300683132	-2.620331241	-3.280382869	-2.620331241	-3.280382869	-4.779891912	-1.806490943	-0.889476142	-4.301899454	-4.779891912	-1.954242514	-3.280382869	-2.688788604	-4.779891912	-0.889476142	-4.301899454	-4.779891912
O-123	3.628286731	1.308139515	-0.337296325	-0.32395333	-1.257624487	-2.676980067	-0.337296325	-1.858616301	-0.357030271	-1.679146141	-2.676980067	-0.337296325	-0.357030271	-1.679146141	-2.676980067	-1.679146141	-2.676980067	NA	-2.003367819	-1.579983653	-4.679853714	NA	-2.633823119	-2.676980067	-2.531469832	NA	-1.579983653	-4.679853714	NA
O-152	4.407866583	2.087721095	-0.204023426	-0.471260272	-1.517230145	-3.265233764	-0.204023426	-4.043351421	-0.472158537	-3.216385094	-3.265233764	-0.204023426	-0.472158537	-3.216385094	-3.265233764	-3.216385094	-3.265233764	-2.621311092	-2.427584879	-1.47384363	-3.888482094	NA	-3.457118579	-3.265233764	-2.616641242	-2.621311092	-1.47384363	-3.888482094	NA
