"Var1"	"Var2"	"value"
"107"	"Bacilli"	"Alpha_avg"	-0.1
"108"	"Eubacterium"	"Alpha_avg"	-0.150134108207386
"109"	"Alpha_sum"	"Beta_avg"	0.571428571428571
"110"	"Beta_sum"	"Beta_avg"	1
"111"	"Delta_sum"	"Beta_avg"	0.284521318976946
"112"	"Gamma_sum"	"Beta_avg"	0.5
"113"	"Undefined_sum"	"Beta_avg"	0.9
"114"	"Alpha_avg"	"Beta_avg"	0.571428571428571
"115"	"Delta_avg"	"Beta_avg"	0.284521318976946
"116"	"Gamma_avg"	"Beta_avg"	0.5
"117"	"Undefined_avg"	"Beta_avg"	0.9
"118"	"Bacteroidetes"	"Beta_avg"	-0.736408119705036
"119"	"Bacteroidia"	"Beta_avg"	-0.736408119705036
"120"	"Bacteroidales"	"Beta_avg"	-0.736408119705036
"121"	"Prevotellaceae"	"Beta_avg"	-0.343099237589846
"122"	"Prevotella"	"Beta_avg"	-0.343099237589846
"123"	"Collinsella"	"Beta_avg"	-0.19047619047619
"124"	"Bacteroides"	"Beta_avg"	0.175733755838702
"125"	"Bacilli"	"Beta_avg"	-0.276153044889389
"126"	"Eubacterium"	"Beta_avg"	-0.294117647058824
"127"	"Alpha_sum"	"Delta_avg"	-0.283516483516484
"128"	"Beta_sum"	"Delta_avg"	0.284521318976946
"129"	"Delta_sum"	"Delta_avg"	1
"130"	"Gamma_sum"	"Delta_avg"	0.9
"131"	"Undefined_sum"	"Delta_avg"	-0.0121953486663821
"132"	"Alpha_avg"	"Delta_avg"	-0.283516483516484
"133"	"Beta_avg"	"Delta_avg"	0.284521318976946
"134"	"Gamma_avg"	"Delta_avg"	0.9
"135"	"Undefined_avg"	"Delta_avg"	-0.0121953486663821
"136"	"Bacteroidetes"	"Delta_avg"	-0.115789473684211
"137"	"Bacteroidia"	"Delta_avg"	-0.115789473684211
"138"	"Bacteroidales"	"Delta_avg"	-0.115789473684211
"139"	"Prevotellaceae"	"Delta_avg"	0.0075187969924812
"140"	"Prevotella"	"Delta_avg"	0.0075187969924812
"141"	"Collinsella"	"Delta_avg"	0.264912280701754
"142"	"Bacteroides"	"Delta_avg"	0.0210526315789474
"143"	"Bacilli"	"Delta_avg"	-0.198496240601504
"144"	"Eubacterium"	"Delta_avg"	-0.213614155760865
"145"	"Alpha_sum"	"Gamma_avg"	0.4
"146"	"Beta_sum"	"Gamma_avg"	0.5
"147"	"Delta_sum"	"Gamma_avg"	0.9
"148"	"Gamma_sum"	"Gamma_avg"	1
"149"	"Undefined_sum"	"Gamma_avg"	0.5
"150"	"Alpha_avg"	"Gamma_avg"	0.4
"151"	"Beta_avg"	"Gamma_avg"	0.5
"152"	"Delta_avg"	"Gamma_avg"	0.9
"153"	"Undefined_avg"	"Gamma_avg"	0.5
"154"	"Bacteroidetes"	"Gamma_avg"	-0.6
"155"	"Bacteroidia"	"Gamma_avg"	-0.6
"156"	"Bacteroidales"	"Gamma_avg"	-0.6
"157"	"Prevotellaceae"	"Gamma_avg"	-0.8
"158"	"Prevotella"	"Gamma_avg"	-0.8
"159"	"Collinsella"	"Gamma_avg"	0.5
"160"	"Bacteroides"	"Gamma_avg"	1
"161"	"Bacilli"	"Gamma_avg"	-0.2
"162"	"Eubacterium"	"Gamma_avg"	0.3
"163"	"Alpha_sum"	"Undefined_avg"	0.579279061653149
"164"	"Beta_sum"	"Undefined_avg"	0.9
"165"	"Delta_sum"	"Undefined_avg"	-0.0121953486663821
"166"	"Gamma_sum"	"Undefined_avg"	0.5
"167"	"Undefined_sum"	"Undefined_avg"	1
"168"	"Alpha_avg"	"Undefined_avg"	0.579279061653149
"169"	"Beta_avg"	"Undefined_avg"	0.9
"170"	"Delta_avg"	"Undefined_avg"	-0.0121953486663821
"171"	"Gamma_avg"	"Undefined_avg"	0.5
"172"	"Bacteroidetes"	"Undefined_avg"	0.0502288341474945
"173"	"Bacteroidia"	"Undefined_avg"	0.0502288341474945
"174"	"Bacteroidales"	"Undefined_avg"	0.0502288341474945
"175"	"Prevotellaceae"	"Undefined_avg"	0.0273975458986334
"176"	"Prevotella"	"Undefined_avg"	0.0273975458986334
"177"	"Collinsella"	"Undefined_avg"	0.121953486663821
"178"	"Bacteroides"	"Undefined_avg"	-0.0365300611981778
"179"	"Bacilli"	"Undefined_avg"	-0.237445397788156
"180"	"Eubacterium"	"Undefined_avg"	0.61098558139379
"181"	"Alpha_sum"	"Bacteroidetes"	0.125
"182"	"Beta_sum"	"Bacteroidetes"	-0.736408119705036
"183"	"Delta_sum"	"Bacteroidetes"	-0.115789473684211
"184"	"Gamma_sum"	"Bacteroidetes"	-0.6
"185"	"Undefined_sum"	"Bacteroidetes"	0.0502288341474945
"186"	"Alpha_avg"	"Bacteroidetes"	0.125
"187"	"Beta_avg"	"Bacteroidetes"	-0.736408119705036
"188"	"Delta_avg"	"Bacteroidetes"	-0.115789473684211
"189"	"Gamma_avg"	"Bacteroidetes"	-0.6
"190"	"Undefined_avg"	"Bacteroidetes"	0.0502288341474945
