#OTU ID	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Collinsella	Bacteroides	sum_crasslike	average_crasslike
H-10	0.779084131	0.779084131	0.779084131	0.534058535	0.000200312	0.221411084	4529	22.4208
H-118	0.836443817	0.836443817	0.836443817	0.776421474	0.000470395	0.045357794	6669	33.0149
H-119	0.708559037	0.708559037	0.708559037	0.010110974	0.000263617	0.645903312	1159	5.73762
H-120	0.68604851	0.68604851	0.68604851	0.533777243	0.000542824	0.121954529	194	0.960396
H-193	0.850375241	0.850375241	0.850375241	0.006061039	0	0.818268887	4122	20.4059
H-314	0.536465964	0.536465964	0.536465964	0.144945231	0.000395358	0.280087909	363	1.79703
O-121	0.403940816	0.403940816	0.403940816	0.011428653	4.28E-05	0.212978156	7177	35.5297
O-122	0.435522264	0.435522264	0.435522264	0.002305452	0.000524345	0.404069913	1489	7.37129
O-123	0.459942641	0.459942641	0.459942641	0.013554816	0.002103875	0.299786472	4024	19.9208
O-152	0.625138971	0.625138971	0.625138971	0.006528428	0.000542958	0.571295602	20515	101.559
O-39	0.659279597	0.659279597	0.659279597	0.294569581	0.002638381	0.336670518	4571	22.6287
O-418	0.822468333	0.822468333	0.822468333	0.015789474	2.71E-05	0.776407234	56	0.277228
O-420	0.635947446	0.635947446	0.635947446	0.001630554	0.000972061	0.569659151	123	0.608911
O-434	0.615169145	0.615169145	0.615169145	0.5120076	0.00045053	0.095159742	139	0.688119
O-445	0.243381617	0.243381617	0.243381617	0.002611687	0.001346112	0.221280072	37	0.183168
OMC-125	0.426229508	0.426229508	0.426229508	0.002029108	0.000335752	0.300074449	44	0.217822
OMC-126	0.40370409	0.40370409	0.40370409	0.002294415	0.002733309	0.379795241	48	0.237624
OMC-288	0.507905885	0.507905885	0.507905885	0.424806101	0.00074301	0.039783615	544	2.69307
OMC-446	0.354566301	0.354566301	0.354566301	0.030675572	0.007116078	0.2965366	6005	29.7277
