Taxa_ID	Grupos presentes	Familia	Genero	H-10	H-118	H-119	H-120	H-193	H-314	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	O-445	OMC-125	OMC-126	OMC-288	OMC-446
ALPHA-4_err843931_ms_1_1	NW	Alpha	Alpha_4	0	0	0	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPHA-4_ERR844065_ms_4	NW	Alpha	Alpha_4	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPHA-4_Inf125_s_3	NW	Alpha	Alpha_4	0	0	0	24	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPHA-4_SRR073436_s_2	NW	Alpha	Alpha_4	0	0	0	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPHA-4_SRR4295175_ms_5	NW	Alpha	Alpha_4	0	0	0	14	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPHA-3_err843933_ms_1_1	NW	Alpha	Alpha_3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPHA-3_err843949_ms_3_1	NW	Alpha	Alpha_3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPHA-3_err843961_ms_1_1	NW	Alpha	Alpha_3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPHA-3_err843963_ms_1_1	NW	Alpha	Alpha_3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPHA-3_err843971_ms_1_1	NW	Alpha	Alpha_3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPHA-3_ERR843976_ms_1	NW	Alpha	Alpha_3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPHA-3_ERR844024_ms_1	NW	Alpha	Alpha_3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPHA-3_ERR844035_ms_3	NW	Alpha	Alpha_3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPHA-3_ERR844067_ms_2	NW	Alpha	Alpha_3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPHA-3_ERR844077_ms_3	NW	Alpha	Alpha_3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPHA-4_eld181-t3_s_1_1	NW	Alpha	Alpha_4	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPHA-4_ERR844021_ms_1	NW	Alpha	Alpha_4	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPHA-4_ERR844065_ms_3	NW	Alpha	Alpha_4	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPHA-4_SRR4295172_ms_6	NW	Alpha	Alpha_4	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPHA-4_SRR4295173_ms_15	NW	Alpha	Alpha_4	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0
DELTA-10_ERR844025_ms_1	NW	Delta	Delta_10	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPHA-1_eld251-t3_s_1_1	NW O	Alpha	Alpha_1	52	0	12	0	0	0	0	1	25	111	0	0	0	0	0	0	0	0	0
BETA-6_eld298-t0_s_3_1	NW O	Beta	Beta_6	15	1	0	0	0	0	15	0	0	153	2	0	0	0	0	0	0	0	0
BETA-6_SRR4295175_s_4	NW O	Beta	Beta_6	0	0	0	0	1	0	1	4	0	1	0	0	0	0	0	0	0	0	0
BETA-6_cs_ms_27_1	NW O	Beta	Beta_6	1	0	0	0	0	0	7	0	0	102	1	0	0	0	0	0	0	0	0
BETA-6_ERR844030_ms_2	NW O	Beta	Beta_6	9	0	0	0	0	0	26	0	0	209	1	0	0	0	0	0	0	0	0
DELTA-7_HvCF_C7_ms_5	NW O	Delta	Delta_7	0	1	1	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0
ALPHA-1_HvCF_D3_ms_2	NW O	Alpha	Alpha_1	5	0	184	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0
ALPHA-1_Fferm_ms_6	NW O	Alpha	Alpha_1	18	0	65	0	0	0	0	0	4	20	0	0	0	0	0	0	0	0	0
ALPHA-1_cs_ms_29_1	NW O	Alpha	Alpha_1	18	0	61	0	0	0	0	0	5	22	0	0	0	0	0	0	0	0	0
ALPHA-1_err843922_ms_1_1	NW O	Alpha	Alpha_1	14	0	105	0	0	0	0	0	5	28	0	0	0	0	0	0	0	0	0
ALPHA-1_ERR844065_ms_2	NW O	Alpha	Alpha_1	17	0	108	0	0	0	0	0	6	39	0	0	0	0	0	0	0	0	0
ALPHA-1_ERR844006_ms_1	NW O	Alpha	Alpha_1	29	0	108	0	0	0	0	0	14	43	0	0	0	0	0	0	0	0	0
ALPHA-1_err843920_ms_4_1	NW O	Alpha	Alpha_1	30	0	3	0	0	0	0	0	10	54	0	0	0	0	0	0	0	0	0
ALPHA-1_err843915_ms_2_1	NW O	Alpha	Alpha_1	30	0	3	0	0	0	0	0	9	57	0	0	0	0	0	0	0	0	0
ALPHA-1_HvCF_B12_ms_1	NW O	Alpha	Alpha_1	34	0	23	0	0	0	0	0	18	50	0	0	0	0	0	0	0	0	0
ALPHA-1_ERR844082_ms_2	NW O	Alpha	Alpha_1	44	0	25	0	0	0	0	0	12	70	0	0	0	0	0	0	0	0	0
ALPHA-1_HvCF_A3_ms_37	NW O	Alpha	Alpha_1	53	0	39	0	0	0	0	0	20	71	0	0	0	0	0	0	0	0	0
ALPHA-1_err843966_ms_1_1	NW O	Alpha	Alpha_1	37	0	7	0	0	0	0	0	18	74	0	0	0	0	0	0	0	0	0
ALPHA-1_ERR844062_ms_1	NW O	Alpha	Alpha_1	40	0	5	0	0	0	0	0	13	82	0	0	0	0	0	0	0	0	0
ALPHA-1_HvCF_A8_ms_1	NW O	Alpha	Alpha_1	53	0	14	0	0	0	0	0	36	71	0	0	0	0	0	0	0	0	0
ALPHA-1_ERR844037_ms_1	NW O	Alpha	Alpha_1	53	0	5	0	0	0	0	0	25	92	0	0	0	0	0	0	0	0	0
ALPHA-1_Inf117_s_1	NW O	Alpha	Alpha_1	43	0	3	0	0	0	0	0	29	88	0	0	0	0	0	0	0	0	0
ALPHA-1_SRR073439_s_1	NW O	Alpha	Alpha_1	68	0	4	0	0	0	0	0	38	83	0	0	0	0	0	0	0	0	0
ALPHA-1_err843917_ms_1_1	NW O	Alpha	Alpha_1	61	0	3	0	0	0	0	0	19	104	0	0	0	0	0	0	0	0	0
ALPHA-1_Inf008_s_1	NW O	Alpha	Alpha_1	70	0	3	0	0	0	0	0	42	82	0	0	0	0	0	0	0	0	0
ALPHA-1_HvCF_B4_ms_1	NW O	Alpha	Alpha_1	48	0	5	0	0	0	0	0	22	103	0	0	0	0	0	0	0	0	0
ALPHA-1_cs_ms_20_1	NW O	Alpha	Alpha_1	50	0	5	0	0	0	0	0	27	99	0	0	0	0	0	0	0	0	0
ALPHA-1_HvCF_E8_ms_1	NW O	Alpha	Alpha_1	52	0	5	0	0	0	0	0	34	92	0	0	0	0	0	0	0	0	0
ALPHA-1_HvCF_C10_ms_1	NW O	Alpha	Alpha_1	46	0	5	0	0	0	0	0	22	106	0	0	0	0	0	0	0	0	0
ALPHA-1_eld195-t0_s_2_1	NW O	Alpha	Alpha_1	60	0	3	0	0	0	0	0	25	104	0	0	0	0	0	0	0	0	0
ALPHA-1_HvCF_C9_ms_3	NW O	Alpha	Alpha_1	46	0	3	0	0	0	0	0	28	103	0	0	0	0	0	0	0	0	0
ALPHA-1_Inf058_s_2	NW O	Alpha	Alpha_1	50	0	4	0	0	0	0	0	44	87	0	0	0	0	0	0	0	0	0
ALPHA-1_HvCF_E6_ms_1	NW O	Alpha	Alpha_1	59	0	4	0	0	0	0	0	35	97	0	0	0	0	0	0	0	0	0
ALPHA-1_HvCF_D10_ms_2	NW O	Alpha	Alpha_1	75	0	3	0	0	0	0	0	50	83	0	0	0	0	0	0	0	0	0
ALPHA-1_HvCF_B11_ms_1	NW O	Alpha	Alpha_1	60	0	4	0	0	0	0	0	34	100	0	0	0	0	0	0	0	0	0
ALPHA-1_eld229-t3_s_2_1	NW O	Alpha	Alpha_1	55	0	6	0	0	0	0	0	26	111	0	0	0	0	0	0	0	0	0
ALPHA-1_eld314-t0_s_2_1	NW O	Alpha	Alpha_1	52	0	4	0	0	0	0	0	38	99	0	0	0	0	0	0	0	0	0
ALPHA-1_err843936_ms_1_1	NW O	Alpha	Alpha_1	58	0	11	0	0	0	0	0	35	102	0	0	0	0	0	0	0	0	0
ALPHA-1_ERR843983_ms_1	NW O	Alpha	Alpha_1	66	0	5	0	0	0	0	0	34	103	0	0	0	0	0	0	0	0	0
ALPHA-1_ERR975089_s_1	NW O	Alpha	Alpha_1	57	0	6	0	0	0	0	0	21	117	0	0	0	0	0	0	0	0	0
ALPHA-1_HvCF_E10_ms_1	NW O	Alpha	Alpha_1	65	0	4	0	0	0	0	0	34	104	0	0	0	0	0	0	0	0	0
ALPHA-1_HvCF_E5_ms_1	NW O	Alpha	Alpha_1	60	0	6	0	0	0	0	0	31	116	0	0	0	0	0	0	0	0	0
ALPHA-1_ERR844032_ms_1	NW O	Alpha	Alpha_1	61	0	16	0	0	0	0	0	36	114	0	0	0	0	0	0	0	0	0
ALPHA-1_HvCF_D6_ms_5	NW O	Alpha	Alpha_1	72	0	6	0	0	0	0	0	36	117	0	0	0	0	0	0	0	0	0
ALPHA-1_cf1_ms_1_1	NW O	Alpha	Alpha_1	63	0	13	0	0	0	0	0	34	120	0	0	0	0	0	0	0	0	0
ALPHA-1_HvCF_D1_ms_1	NW O	Alpha	Alpha_1	55	0	3	0	0	0	0	0	41	113	0	0	0	0	0	0	0	0	0
ALPHA-1_Inf107_s_1	NW O	Alpha	Alpha_1	62	0	18	0	0	0	0	0	56	98	0	0	0	0	0	0	0	0	0
ALPHA-1_eld241-t0_s_2_1	NW O	Alpha	Alpha_1	62	0	11	0	0	0	0	0	44	111	0	0	0	0	0	0	0	0	0
ALPHA-1_ERR844008_ms_2	NW O	Alpha	Alpha_1	64	0	4	0	0	0	0	0	40	117	0	0	0	0	0	0	0	0	0
ALPHA-1_ERR844050_ms_1	NW O	Alpha	Alpha_1	78	0	7	0	0	0	0	0	50	117	0	0	0	0	0	0	0	0	0
ALPHA-1_ERR843994_ms_1	NW O	Alpha	Alpha_1	101	0	8	0	0	0	0	0	60	112	0	0	0	0	0	0	0	0	0
