Genus	Alpha_1_avg	Alpha_3_avg	Alpha_4_avg	Alpha_9_avg	Beta_6_avg	Delta_10_avg	Delta_7_avg	Delta_8_avg	Gamma_2_avg	Undefined_avg	Bacteroidetes	Firmicutes	Proteobacteria	Coriobacteriia	Bacteroidia	Bacilli	Clostridia	Erysipelotrichi	Coriobacteriales	Bacteroidales	Clostridiales	Erysipelotrichales	Coriobacteriaceae	Erysipelotrichaceae	Collinsella	Porphyromonas	Coprococcus	Faecalibacterium	Phascolarctobacterium	Catenibacterium	Bifidobacterium adolescentis	Collinsella aerofaciens	Parabacteroides distasonis	Porphyromonas sp.	Faecalibacterium prausnitzii	Phascolarctobacterium sp.	Catenibacterium sp.
H-10	1.858595405	NA	NA	NA	0.238882089	-0.458637849	NA	NA	0.176091259	1.505149978	-1.08E-01	-8.07E-01	-1.19E+00	-3.70E+00	-1.08E-01	-4.05E+00	-8.10E-01	-3.42E+00	-3.70E+00	-1.08E-01	-8.10E-01	-3.42E+00	-3.70E+00	-3.42E+00	-3.70E+00	NA	-2.58E+00	-1.39E+00	-4.56E+00	-5.25E+00	-4.56E+00	-3.70E+00	-3.05E+00	NA	-1.39E+00	-4.56E+00	-5.25E+00
H-118	NA	NA	NA	NA	-1.176091259	-1.361727836	2.255728731	NA	NA	NA	-7.76E-02	-8.21E-01	-1.98E+00	-3.33E+00	-7.76E-02	-3.57E+00	-8.24E-01	-2.94E+00	-3.33E+00	-7.76E-02	-8.24E-01	-2.94E+00	-3.33E+00	-2.94E+00	-3.33E+00	NA	-2.67E+00	-1.80E+00	-2.82E+00	NA	-4.33E+00	-3.33E+00	-4.33E+00	NA	-1.80E+00	-2.82E+00	NA
H-119	1.264513162	NA	NA	NA	NA	-0.106455331	-1.568201724	NA	NA	0.414973348	-1.50E-01	-5.64E-01	-1.96E+00	-3.58E+00	-1.50E-01	-3.55E+00	-5.68E-01	-2.65E+00	-3.58E+00	-1.50E-01	-5.69E-01	-2.65E+00	-3.58E+00	-2.65E+00	-3.58E+00	NA	-2.32E+00	-1.39E+00	-3.79E+00	NA	-4.37E+00	-3.58E+00	-2.14E+00	NA	-1.39E+00	-3.79E+00	NA
H-120	NA	-0.455931956	0.995147497	-0.096910013	NA	NA	-1.091080469	NA	-0.77815125	0.301029996	-1.64E-01	-5.33E-01	-1.88E+00	-3.27E+00	-1.64E-01	-3.31E+00	-5.35E-01	-3.01E+00	-3.27E+00	-1.64E-01	-5.35E-01	-3.01E+00	-3.27E+00	-3.01E+00	-3.27E+00	NA	-2.49E+00	-1.64E+00	-3.81E+00	NA	-4.14E+00	-3.27E+00	-3.03E+00	NA	-1.64E+00	-3.81E+00	NA
H-161	NA	NA	NA	0.301029996	NA	NA	NA	NA	NA	-0.698970004	-2.14E-01	-4.51E-01	-1.72E+00	-4.88E+00	-2.14E-01	-2.91E+00	-4.54E-01	-3.02E+00	-4.88E+00	-2.14E-01	-4.54E-01	-3.02E+00	-4.88E+00	-3.02E+00	-4.88E+00	NA	-2.07E+00	-1.78E+00	-3.58E+00	-4.88E+00	-3.58E+00	-4.88E+00	-2.37E+00	NA	-1.78E+00	-3.58E+00	-4.88E+00
H-193	NA	0.096910013	0.452297671	NA	-1.176091259	NA	2.038716802	NA	NA	-0.397940009	-7.04E-02	-8.45E-01	-2.24E+00	NA	-7.04E-02	-3.84E+00	-8.52E-01	-2.65E+00	NA	-7.04E-02	-8.51E-01	-2.65E+00	NA	-2.65E+00	NA	NA	-2.31E+00	-1.68E+00	-3.07E+00	NA	-4.84E+00	NA	-4.37E+00	NA	-1.68E+00	-3.07E+00	NA
H-314	NA	-0.15490196	0.84509804	NA	NA	0.891125195	0.075250952	NA	NA	NA	-2.70E-01	-3.73E-01	-1.55E+00	-3.40E+00	-2.70E-01	-3.79E+00	-3.77E-01	-2.35E+00	-3.40E+00	-2.70E-01	-3.78E-01	-2.35E+00	-3.40E+00	-2.35E+00	-3.40E+00	NA	-1.66E+00	-1.62E+00	-2.40E+00	NA	-4.63E+00	-3.40E+00	-3.68E+00	NA	-1.62E+00	-2.40E+00	NA
O-121	NA	NA	-0.477121255	NA	0.73239376	NA	2.282444511	NA	NA	NA	-3.94E-01	-2.52E-01	-1.52E+00	-4.37E+00	-3.94E-01	-3.80E+00	-2.55E-01	-2.36E+00	-4.37E+00	-3.94E-01	-2.55E-01	-2.36E+00	-4.37E+00	-2.36E+00	-4.37E+00	-3.62E+00	-1.82E+00	-1.22E+00	-3.85E+00	-4.84E+00	-2.65E+00	-4.37E+00	-3.00E+00	-3.62E+00	-1.22E+00	-3.85E+00	-4.84E+00
O-122	-1.792391689	1.858537198	NA	NA	0.166331422	NA	-0.225779043	NA	NA	NA	-3.61E-01	-2.91E-01	-1.61E+00	-3.28E+00	-3.61E-01	-2.07E+00	-3.01E-01	-2.62E+00	-3.28E+00	-3.61E-01	-3.01E-01	-2.62E+00	-3.28E+00	-2.62E+00	-3.28E+00	-4.78E+00	-1.81E+00	-8.89E-01	-4.30E+00	-4.78E+00	-1.95E+00	-3.28E+00	-2.69E+00	-4.78E+00	-8.89E-01	-4.30E+00	-4.78E+00
O-123	1.640096566	NA	-0.141329153	2.391993072	NA	NA	0.276896316	-1.041392685	NA	1.653212514	-3.37E-01	-3.24E-01	-1.26E+00	-2.68E+00	-3.37E-01	-1.86E+00	-3.57E-01	-1.68E+00	-2.68E+00	-3.37E-01	-3.57E-01	-1.68E+00	-2.68E+00	-1.68E+00	-2.68E+00	NA	-2.00E+00	-1.58E+00	-4.68E+00	NA	-2.63E+00	-2.68E+00	-2.53E+00	NA	-1.58E+00	-4.68E+00	NA
