# Constructed from biom file
#OTU ID	288	197	165	087	258	124	024	064	147	146	074	039	153	152	161	446	445	434	164	169	090	015	420	314	418	010	193	taxonomy
292735	12.0	22.0	8.0	11.0	139.0	6.0	7.0	10.0	15.0	149.0	24.0	12.0	18.0	0.0	16.0	34.0	13.0	4.0	29.0	58.0	0.0	7.0	25.0	2.0	36.0	6.0	6.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
182224	12.0	55.0	23.0	6.0	224.0	5.0	102.0	49.0	101.0	0.0	306.0	12.0	3.0	31.0	2.0	58.0	68.0	36.0	2.0	29.0	84.0	11.0	1.0	1.0	2.0	29.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
2949328	1.0	9.0	1.0	4.0	6.0	3.0	0.0	1.0	25.0	0.0	68.0	12.0	2.0	2.0	0.0	18.0	0.0	2.0	22.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	8.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
3588390	20.0	595.0	229.0	284.0	638.0	450.0	328.0	136.0	40.0	14.0	1180.0	274.0	13.0	332.0	395.0	831.0	754.0	459.0	1312.0	382.0	42.0	86.0	400.0	760.0	41.0	1619.0	1307.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
4388068	0.0	0.0	0.0	73.0	0.0	0.0	1.0	0.0	268.0	0.0	0.0	2.0	53.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__
2996838	1.0	1.0	4.0	4.0	8.0	1.0	4.0	8.0	11.0	2.0	6.0	13.0	1.0	1.0	19.0	49.0	4.0	1.0	12.0	2.0	1.0	4.0	1.0	16.0	1.0	5.0	11.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
172777	15.0	6.0	54.0	19.0	54.0	7.0	16.0	6.0	136.0	238.0	45.0	181.0	53.0	95.0	11.0	10.0	23.0	3.0	180.0	70.0	2.0	2.0	16.0	17.0	441.0	38.0	373.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
199054	1.0	3.0	1.0	5.0	24.0	0.0	11.0	9.0	20.0	0.0	67.0	4.0	0.0	0.0	2.0	21.0	2.0	1.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
3275562	619.0	16.0	147.0	984.0	3035.0	530.0	858.0	969.0	563.0	13.0	49.0	225.0	18.0	53.0	247.0	66.0	348.0	676.0	374.0	91.0	158.0	78.0	24.0	2762.0	56.0	110.0	145.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
176062	0.0	131.0	9.0	56.0	43.0	2.0	15.0	68.0	57.0	0.0	4.0	1.0	94.0	135.0	2.0	2.0	7.0	6.0	0.0	76.0	13.0	0.0	0.0	1.0	0.0	4.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
