# Constructed from biom file																							
#OTU ID	H-10	H-118	H-119	H-120	H-161	H-193	H-314	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	O-445	OMC-124	OMC-125	OMC-126	OMC-288	OMC-446	OMC-55	taxonomy
ALPHA-1_ERR843979_ms_2	405542	0	5859	0	0	0	0	0	0	120231	156975	40	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR843979_ms_2
ALPHA-1_ERR843983_ms_1	65769	0	4556	0	0	0	0	0	0	34102	102984	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR843983_ms_1
ALPHA-1_ERR843994_ms_1	101056	0	7623	0	0	0	0	0	0	60170	111990	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR843994_ms_1
ALPHA-1_ERR844000_ms_1	85915	0	9551	0	0	0	0	0	0	42710	138795	44	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844000_ms_1
ALPHA-1_ERR844006_ms_1	28526	0	107580	0	0	0	0	0	10	14055	43037	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844006_ms_1
ALPHA-1_ERR844008_ms_2	63826	0	4190	0	0	0	0	0	0	40461	116585	13	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844008_ms_2
ALPHA-1_ERR844017_ms_1	79514	0	7335	0	0	0	0	0	0	67873	250066	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844017_ms_1
ALPHA-1_ERR844018_ms_1	76303	0	8066	0	0	0	0	0	0	66645	242233	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844018_ms_1
ALPHA-1_ERR844022_ms_1	92453	0	14924	0	0	0	0	0	0	83222	129153	38	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844022_ms_1
ALPHA-1_ERR844032_ms_1	61314	0	16317	0	0	0	0	0	0	36361	113784	16	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844032_ms_1
ALPHA-1_ERR844035_ms_4	137503	0	17201	0	0	0	0	0	0	98259	437367	45	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844035_ms_4
ALPHA-1_ERR844037_ms_1	53208	0	4501	0	0	0	0	0	14	24737	92219	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844037_ms_1
ALPHA-1_ERR844038_ms_2	58690	0	5705	0	0	0	0	0	0	52492	236584	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844038_ms_2
ALPHA-1_ERR844044_ms_3	271999	0	7960	0	0	0	0	0	0	169776	232822	40	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844044_ms_3
ALPHA-1_ERR844045_ms_1	289302	0	10062	0	0	0	0	0	0	130694	173570	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844045_ms_1
ALPHA-1_ERR844050_ms_1	78179	0	7286	0	0	0	0	0	0	50155	117498	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844050_ms_1
ALPHA-1_ERR844054_ms_2	103629	0	27154	0	0	0	0	0	0	167457	531580	42	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844054_ms_2
ALPHA-1_ERR844062_ms_1	40093	0	4836	0	0	0	0	0	0	13033	81572	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844062_ms_1
ALPHA-1_ERR844065_ms_2	17205	0	108043	0	0	0	0	0	0	5502	39232	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844065_ms_2
ALPHA-1_ERR844082_ms_2	43562	0	24534	0	0	0	0	0	0	11526	69719	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844082_ms_2
ALPHA-1_ERR975089_s_1	56723	0	5560	0	0	0	0	0	0	20955	117490	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR975089_s_1
ALPHA-1_Fferm_ms_6	18469	0	65115	0	0	0	0	0	45	4498	20317	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_Fferm_ms_6
ALPHA-1_HvCF_A11_ms_1	64238	0	10266	0	0	0	0	0	0	46340	132826	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_A11_ms_1
ALPHA-1_HvCF_A3_ms_37	53206	0	39271	0	0	0	0	0	0	20128	71185	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_A3_ms_37
ALPHA-1_HvCF_A8_ms_1	53348	0	14155	0	0	0	0	0	0	35512	71397	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_A8_ms_1
ALPHA-1_HvCF_B11_ms_1	59855	0	4116	0	0	0	0	0	0	34155	100291	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_B11_ms_1
ALPHA-1_HvCF_B12_ms_1	34006	0	23112	0	0	0	0	0	0	17836	50297	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_B12_ms_1
ALPHA-1_HvCF_B4_ms_1	48333	0	4649	0	0	0	0	0	0	22458	102766	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_B4_ms_1
ALPHA-1_HvCF_C10_ms_1	45902	0	4744	0	0	0	0	0	0	22313	105809	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_C10_ms_1
ALPHA-1_HvCF_C9_ms_3	45545	0	2921	0	0	0	0	0	40	27795	102976	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_C9_ms_3
ALPHA-1_HvCF_D10_ms_2	75176	0	3303	0	0	0	0	0	0	49856	82528	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_D10_ms_2
ALPHA-1_HvCF_D1_ms_1	55455	0	3203	0	0	0	0	0	0	41259	113363	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_D1_ms_1
ALPHA-1_HvCF_D3_ms_2	5151	0	183840	0	0	0	0	0	0	1161	10539	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_D3_ms_2
ALPHA-1_HvCF_D6_ms_5	72432	0	5961	0	0	0	0	0	0	35548	117421	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_D6_ms_5
ALPHA-1_HvCF_E10_ms_1	65429	0	3682	0	0	0	0	0	0	33537	104264	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_E10_ms_1
