#OTU ID	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Bacteroidetes;c__Bacteroidia	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
288	0.5079058854200609	0.5079058854200609	0.5079058854200609	0.4248061005018575	0.0007430098416215864	0.039783614677703194
197	0.4599426406246728	0.4599426406246728	0.4599426406246728	0.013554815884778831	0.002103874897946367	0.2997864723984174
165	0.6860485103996093	0.6860485103996093	0.6860485103996093	0.5337772429953045	0.0005428243149104792	0.12195452941655438
087	0.5187510920845713	0.5187510920845713	0.5187510920845713	0.4048412109033724	0.0006388694740520706	0.05995544294950199
258	0.4037040899688865	0.4037040899688865	0.4037040899688865	0.0022944151848568596	0.0027333089986268273	0.3797952408266849
124	0.839844573071727	0.839844573071727	0.839844573071727	0.6875472540003223	0.0003222567890829315	0.12290997880541889
024	0.4039408164138857	0.4039408164138857	0.4039408164138857	0.011428652959892708	4.280394367001013e-05	0.21297815572074713
064	0.252870482448556	0.252870482448556	0.252870482448556	0.07048244855611276	0.0014265951928065018	0.12845408957288604
147	0.35528773864309454	0.35528773864309454	0.35528773864309454	0.0008809100712322109	0.0002506037271608876	0.3188666636290456
146	0.719896686854293	0.719896686854293	0.719896686854293	0.005358627241420259	0.0029242370264814157	0.667779954874718
074	0.4355222638368705	0.4355222638368705	0.4355222638368705	0.002305451518934665	0.0005243445692883895	0.40406991260923825
039	0.6592795969173233	0.6592795969173233	0.6592795969173233	0.2945695805986682	0.0026383809988922372	0.33667051802794423
151	0.42622950819672173	0.42622950819672173	0.42622950819672173	0.0020291082142387925	0.0003357517189028218	0.30007444929419147
152	0.625138971481759	0.625138971481759	0.625138971481759	0.0065284277477570644	0.0005429583473382113	0.5712956020373865
161	0.610820335443451	0.610820335443451	0.610820335443451	0.07048228153755792	1.3052274358807022e-05	0.4609671735299878
446	0.35456630145961493	0.35456630145961493	0.35456630145961493	0.030675572380155062	0.007116077603465221	0.2965365995704874
445	0.2433816169449016	0.2433816169449016	0.2433816169449016	0.0026116870117468384	0.0013461118078166526	0.22128007179262982
434	0.6151691445809088	0.6151691445809088	0.6151691445809088	0.5120076002428943	0.0004505298622945682	0.09515974221856575
164	0.7085590373740379	0.7085590373740379	0.7085590373740379	0.010110974106041925	0.0002636166503677877	0.6459033122156554
169	0.4772730972730972	0.4772730972730972	0.4772730972730972	0.00988196988196988	1.628001628001628e-05	0.22035816035816036
090	0.6266986235102681	0.6266986235102681	0.6266986235102681	0.5776639254144859	4.3977307709222044e-05	0.03463212982101236
015	0.8364438172517205	0.8364438172517205	0.8364438172517205	0.7764214735109071	0.0004703945434232963	0.04535779384959134
420	0.635947445987896	0.635947445987896	0.635947445987896	0.0016305540748173468	0.0009720610830641873	0.5696591514847447
314	0.5364659643247519	0.5364659643247519	0.5364659643247519	0.14494523128444847	0.0003953580315821298	0.28008790902114006
418	0.8224683329946489	0.8224683329946489	0.8224683329946489	0.015789473684210527	2.70947639368692e-05	0.7764072343019709
010	0.779084130870243	0.779084130870243	0.779084130870243	0.5340585354996664	0.00020031159581571334	0.22141108390830186
193	0.850375241226503	0.850375241226503	0.850375241226503	0.006061039239511114	0.0	0.8182688871417338
