	H-10	H-118	H-119	H-120	H-193	H-314	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	O-445	OMC-125	OMC-126	OMC-288	OMC-446
H-10	0.0	1.0	0.8378378378378378	1.0	1.0	1.0	1.0	1.0	0.7567567567567568	0.8648648648648649	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
H-118	1.0	0.0	1.0	1.0	0.9459459459459459	0.9459459459459459	0.7837837837837838	1.0	1.0	0.8648648648648649	0.8918918918918919	1.0	1.0	1.0	1.0	1.0	1.0	0.918918918918919	0.8108108108108109
H-119	0.8378378378378378	1.0	0.0	1.0	1.0	0.9459459459459459	1.0	1.0	0.8108108108108109	0.8918918918918919	1.0	0.9459459459459459	0.918918918918919	1.0	1.0	1.0	0.972972972972973	0.9459459459459459	1.0
H-120	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.9459459459459459	1.0	1.0	1.0	0.972972972972973	0.972972972972973	0.918918918918919	0.972972972972973	0.972972972972973	1.0
H-193	1.0	0.9459459459459459	1.0	1.0	0.0	1.0	0.918918918918919	1.0	1.0	0.972972972972973	1.0	1.0	1.0	1.0	0.4864864864864865	1.0	1.0	0.8108108108108109	0.918918918918919
H-314	1.0	0.9459459459459459	0.9459459459459459	1.0	1.0	0.0	0.918918918918919	1.0	1.0	0.972972972972973	1.0	0.7027027027027027	0.6216216216216216	1.0	0.972972972972973	0.972972972972973	0.918918918918919	0.8378378378378378	0.972972972972973
O-121	1.0	0.7837837837837838	1.0	1.0	0.918918918918919	0.918918918918919	0.0	1.0	1.0	0.8108108108108109	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.918918918918919	0.8918918918918919
O-122	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.972972972972973	1.0	1.0	1.0	1.0	1.0	1.0
O-123	0.7567567567567568	1.0	0.8108108108108109	1.0	1.0	1.0	1.0	1.0	0.0	0.8108108108108109	1.0	1.0	1.0	0.972972972972973	1.0	1.0	1.0	1.0	1.0
O-152	0.8648648648648649	0.8648648648648649	0.8918918918918919	0.9459459459459459	0.972972972972973	0.972972972972973	0.8108108108108109	1.0	0.8108108108108109	0.0	1.0	1.0	1.0	1.0	1.0	0.7567567567567568	1.0	0.9459459459459459	0.9459459459459459
O-39	1.0	0.8918918918918919	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2702702702702703
O-418	1.0	1.0	0.9459459459459459	1.0	1.0	0.7027027027027027	1.0	1.0	1.0	1.0	1.0	0.0	0.3783783783783784	1.0	1.0	1.0	0.918918918918919	0.7837837837837838	1.0
O-420	1.0	1.0	0.918918918918919	1.0	1.0	0.6216216216216216	1.0	0.972972972972973	1.0	1.0	1.0	0.3783783783783784	0.0	1.0	1.0	1.0	0.918918918918919	0.7837837837837838	1.0
O-434	1.0	1.0	1.0	0.972972972972973	1.0	1.0	1.0	1.0	0.972972972972973	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.918918918918919	1.0
O-445	1.0	1.0	1.0	0.972972972972973	0.4864864864864865	0.972972972972973	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.972972972972973	0.9459459459459459	0.7837837837837838	1.0
OMC-125	1.0	1.0	1.0	0.918918918918919	1.0	0.972972972972973	1.0	1.0	1.0	0.7567567567567568	1.0	1.0	1.0	1.0	0.972972972972973	0.0	0.972972972972973	1.0	1.0
OMC-126	1.0	1.0	0.972972972972973	0.972972972972973	1.0	0.918918918918919	1.0	1.0	1.0	1.0	1.0	0.918918918918919	0.918918918918919	1.0	0.9459459459459459	0.972972972972973	0.0	0.9459459459459459	1.0
OMC-288	1.0	0.918918918918919	0.9459459459459459	0.972972972972973	0.8108108108108109	0.8378378378378378	0.918918918918919	1.0	1.0	0.9459459459459459	1.0	0.7837837837837838	0.7837837837837838	0.918918918918919	0.7837837837837838	1.0	0.9459459459459459	0.0	1.0
OMC-446	1.0	0.8108108108108109	1.0	1.0	0.918918918918919	0.972972972972973	0.8918918918918919	1.0	1.0	0.9459459459459459	0.2702702702702703	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
