	H-10	H-118	H-119	H-120	H-193	H-314	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	O-445	OMC-125	OMC-126	OMC-288	OMC-446
H-10	0.0	1.0	0.8571428571428572	1.0	1.0	1.0	1.0	1.0	0.775	0.8780487804878049	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
H-118	1.0	0.0	1.0	1.0	0.9230769230769231	0.9428571428571428	0.5555555555555556	1.0	1.0	0.8529411764705882	0.8	1.0	1.0	1.0	1.0	1.0	1.0	0.9166666666666666	0.6666666666666667
H-119	0.8571428571428572	1.0	0.0	1.0	1.0	0.9545454545454546	1.0	1.0	0.8409090909090909	0.9090909090909091	1.0	0.9411764705882353	0.9142857142857143	1.0	1.0	1.0	0.9655172413793104	0.9565217391304348	1.0
H-120	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.9428571428571428	1.0	1.0	1.0	0.9583333333333334	0.9583333333333334	0.8571428571428572	0.9444444444444444	0.9722222222222222	1.0
H-193	1.0	0.9230769230769231	1.0	1.0	0.0	1.0	0.8421052631578947	1.0	1.0	0.9705882352941176	1.0	1.0	1.0	1.0	0.3571428571428571	1.0	1.0	0.7931034482758621	0.8571428571428572
H-314	1.0	0.9428571428571428	0.9545454545454546	1.0	1.0	0.0	0.9310344827586207	1.0	1.0	0.9767441860465116	1.0	0.72	0.6923076923076923	1.0	0.967741935483871	0.9666666666666667	0.8695652173913043	0.8421052631578947	0.96875
O-121	1.0	0.5555555555555556	1.0	1.0	0.8421052631578947	0.9310344827586207	0.0	1.0	1.0	0.8214285714285714	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9	0.7777777777777778
O-122	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.9375	1.0	1.0	1.0	1.0	1.0	1.0
O-123	0.775	1.0	0.8409090909090909	1.0	1.0	1.0	1.0	1.0	0.0	0.8333333333333334	1.0	1.0	1.0	0.9722222222222222	1.0	1.0	1.0	1.0	1.0
O-152	0.8780487804878049	0.8529411764705882	0.9090909090909091	0.9428571428571428	0.9705882352941176	0.9767441860465116	0.8214285714285714	1.0	0.8333333333333334	0.0	1.0	1.0	1.0	1.0	1.0	0.8620689655172413	1.0	0.9545454545454546	0.9393939393939394
O-39	1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.46153846153846156
O-418	1.0	1.0	0.9411764705882353	1.0	1.0	0.72	1.0	1.0	1.0	1.0	1.0	0.0	0.4	1.0	1.0	1.0	0.7692307692307692	0.7407407407407407	1.0
O-420	1.0	1.0	0.9142857142857143	1.0	1.0	0.6923076923076923	1.0	0.9375	1.0	1.0	1.0	0.4	0.0	1.0	1.0	1.0	0.8	0.7586206896551724	1.0
O-434	1.0	1.0	1.0	0.9583333333333334	1.0	1.0	1.0	1.0	0.9722222222222222	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.9696969696969697	1.0
O-445	1.0	1.0	1.0	0.9583333333333334	0.3571428571428571	0.967741935483871	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.95	0.8571428571428572	0.7857142857142857	1.0
OMC-125	1.0	1.0	1.0	0.8571428571428572	1.0	0.9666666666666667	1.0	1.0	1.0	0.8620689655172413	1.0	1.0	1.0	1.0	0.95	0.0	0.9285714285714286	1.0	1.0
OMC-126	1.0	1.0	0.9655172413793104	0.9444444444444444	1.0	0.8695652173913043	1.0	1.0	1.0	1.0	1.0	0.7692307692307692	0.8	1.0	0.8571428571428572	0.9285714285714286	0.0	0.9230769230769231	1.0
OMC-288	1.0	0.9166666666666666	0.9565217391304348	0.9722222222222222	0.7931034482758621	0.8421052631578947	0.9	1.0	1.0	0.9545454545454546	1.0	0.7407407407407407	0.7586206896551724	0.9696969696969697	0.7857142857142857	1.0	0.9230769230769231	0.0	1.0
OMC-446	1.0	0.6666666666666667	1.0	1.0	0.8571428571428572	0.96875	0.7777777777777778	1.0	1.0	0.9393939393939394	0.46153846153846156	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
