	chao1	observed_otus	shannon	simpson	goods_coverage
958_H-193	1.0	1.0	-0.0	0.0	1.0
959_H-193	1.0	1.0	-0.0	0.0	1.0
95_H-193	0.0	0.0	nan	nan	nan
960_H-193	1.0	1.0	-0.0	0.0	1.0
961_H-193	1.0	1.0	-0.0	0.0	1.0
962_H-193	0.0	0.0	nan	nan	nan
963_H-193	1.0	1.0	-0.0	0.0	1.0
964_H-193	1.0	1.0	-0.0	0.0	1.0
965_H-193	1.0	1.0	-0.0	0.0	1.0
966_H-193	1.0	1.0	-0.0	0.0	1.0
967_H-193	0.0	0.0	nan	nan	nan
968_H-193	0.0	0.0	nan	nan	nan
969_H-193	1.0	1.0	-0.0	0.0	1.0
96_H-193	0.0	0.0	nan	nan	nan
970_H-193	1.0	1.0	-0.0	0.0	1.0
971_H-193	0.0	0.0	nan	nan	nan
972_H-193	1.0	1.0	-0.0	0.0	1.0
973_H-193	0.0	0.0	nan	nan	nan
974_H-193	0.0	0.0	nan	nan	nan
975_H-193	1.0	1.0	-0.0	0.0	1.0
976_H-193	0.0	0.0	nan	nan	nan
977_H-193	0.0	0.0	nan	nan	nan
978_H-193	0.0	0.0	nan	nan	nan
979_H-193	1.0	1.0	-0.0	0.0	1.0
97_H-193	1.0	1.0	-0.0	0.0	1.0
980_H-193	0.0	0.0	nan	nan	nan
981_H-193	1.0	1.0	-0.0	0.0	1.0
982_H-193	1.0	1.0	-0.0	0.0	1.0
983_H-193	1.0	1.0	-0.0	0.0	1.0
984_H-193	0.0	0.0	nan	nan	nan
985_H-193	1.0	1.0	-0.0	0.0	1.0
986_H-193	1.0	1.0	-0.0	0.0	1.0
987_H-193	1.0	1.0	-0.0	0.0	1.0
988_H-193	0.0	0.0	nan	nan	nan
989_H-193	0.0	0.0	nan	nan	nan
98_H-193	0.0	0.0	nan	nan	nan
990_H-193	0.0	0.0	nan	nan	nan
991_H-193	1.0	1.0	-0.0	0.0	1.0
992_H-193	1.0	1.0	-0.0	0.0	1.0
993_H-193	0.0	0.0	nan	nan	nan
994_H-193	1.0	1.0	-0.0	0.0	0.0
995_H-193	1.0	1.0	-0.0	0.0	1.0
996_H-193	0.0	0.0	nan	nan	nan
997_H-193	0.0	0.0	nan	nan	nan
998_H-193	0.0	0.0	nan	nan	nan
999_H-193	1.0	1.0	-0.0	0.0	1.0
99_H-193	0.0	0.0	nan	nan	nan
9_H-193	1.0	1.0	-0.0	0.0	1.0
