	chao1	observed_otus	shannon	simpson	goods_coverage
1000_O-152	68.0	68.0	5.46676225837741	0.9648891097731255	1.0
100_O-152	69.0	69.0	5.460284396448948	0.9648391751841437	1.0
101_O-152	69.0	69.0	5.479438797817895	0.9654653591579861	0.9999131944444445
102_O-152	69.0	69.0	5.449320689818966	0.9635889427112055	0.999914944288509
103_O-152	68.0	68.0	5.457945483638948	0.9642610884588829	1.0
104_O-152	69.0	69.0	5.457869505252841	0.9647078559393273	0.9999140154772141
105_O-152	70.0	70.0	5.46715280665317	0.9650059373494462	0.9999153689911984
106_O-152	71.0	70.0	5.450394412666489	0.9638364274475791	0.9998260264439806
107_O-152	69.0	69.0	5.470125482119059	0.9652963083034769	0.9999140228699166
108_O-152	69.0	69.0	5.46705663923432	0.9644416404480689	1.0
109_O-152	69.0	69.0	5.46749641112337	0.9643260475367319	0.9999139340735003
10_O-152	68.0	68.0	5.45376544107811	0.9644265409360583	1.0
110_O-152	70.0	70.0	5.463497037241183	0.9644164015553823	0.9999142219934809
111_O-152	69.0	69.0	5.45007651476579	0.9638807805868422	0.9999163809683084
112_O-152	68.0	68.0	5.45520741804579	0.9640297127959129	1.0
113_O-152	69.0	69.0	5.46224445764079	0.963943349689134	0.9999146830475215
114_O-152	68.0	68.0	5.45989321509575	0.9647538634252855	1.0
115_O-152	69.0	69.0	5.447253077059871	0.9636876961752517	1.0
116_O-152	68.0	68.0	5.469224409813938	0.9647992006248635	1.0
117_O-152	68.0	68.0	5.44668156835866	0.963721769624498	1.0
118_O-152	68.0	68.0	5.47465173949026	0.9652461623751926	1.0
119_O-152	68.0	68.0	5.473554051275289	0.9652176953034671	1.0
11_O-152	70.0	70.0	5.441036446272336	0.9637571296985156	0.999914089347079
120_O-152	68.0	68.0	5.444418064100185	0.9644204379320415	1.0
121_O-152	70.0	70.0	5.475261756894464	0.9653408559772797	0.9999131567520625
122_O-152	68.0	68.0	5.464449920525243	0.9655403111312895	1.0
123_O-152	71.0	70.0	5.4649034571424835	0.9644995169834295	0.9998283998283999
124_O-152	68.0	68.0	5.465319178877743	0.9647505971505685	1.0
125_O-152	68.0	68.0	5.50224702671105	0.9660181522222578	1.0
126_O-152	68.0	68.0	5.459081169462409	0.9643921001690677	1.0
127_O-152	69.0	69.0	5.437055911535139	0.9640330753574096	0.9999131039277025
128_O-152	68.0	68.0	5.4760837380354195	0.9655729750834721	1.0
129_O-152	68.0	68.0	5.473120793902584	0.9651812000569501	1.0
12_O-152	69.0	69.0	5.4604154516811905	0.9646004997916527	0.9999141336081058
130_O-152	68.0	68.0	5.47421185732207	0.9649071580513039	1.0
131_O-152	68.0	68.0	5.450393292628081	0.963796772344043	1.0
132_O-152	68.0	68.0	5.449997448057861	0.9641652420018887	1.0
133_O-152	70.0	70.0	5.482540014109995	0.9651756042141324	0.9999156545209177
134_O-152	71.0	70.0	5.4710605220844535	0.9652507934860979	0.9998270045843786
135_O-152	69.0	69.0	5.471107739423605	0.9657477263924265	0.999913614374568
136_O-152	69.0	69.0	5.473991658828134	0.9648486119209861	0.9999135396852844
137_O-152	71.0	70.0	5.463541723638983	0.964462773450739	0.9998265695456122
138_O-152	69.0	69.0	5.462953819314278	0.9651884612718702	0.9999155761924863
139_O-152	69.0	69.0	5.469758962195547	0.9651225800246882	0.9999147266990706
13_O-152	69.0	69.0	5.460701169824023	0.9645281270640719	1.0
140_O-152	68.0	68.0	5.47378487608656	0.9652198913875835	1.0
141_O-152	68.0	68.0	5.473987218383344	0.9653769040772248	1.0
142_O-152	69.0	69.0	5.480295994759898	0.9654967453406487	0.9999140450403988
143_O-152	70.0	70.0	5.4609355252104015	0.9647622258832029	0.9999167707032875
144_O-152	68.0	68.0	5.454603623120465	0.963822251300396	1.0
145_O-152	69.0	69.0	5.490952974328571	0.9661997852307562	0.9999143175391997
146_O-152	68.0	68.0	5.445122680428746	0.9644055000852484	1.0
147_O-152	70.0	70.0	5.46533270320327	0.9648728925175244	0.9999139858936865
148_O-152	68.0	68.0	5.416295335126163	0.9628046909753485	1.0
149_O-152	68.0	68.0	5.47697645477873	0.9651214196938344	1.0
14_O-152	68.0	68.0	5.463977482287604	0.9650313230917129	1.0
150_O-152	69.0	69.0	5.449470674871199	0.9638402183691346	0.999914806611007
151_O-152	68.0	68.0	5.471408596930507	0.9651588431679013	1.0
152_O-152	69.0	69.0	5.475151698046573	0.9655668497545602	0.9999158249158249
153_O-152	69.0	69.0	5.466468302656975	0.9650813018404389	0.9999120028159099
154_O-152	68.0	68.0	5.467209077952076	0.9644916177333763	1.0
155_O-152	68.0	68.0	5.421135681858316	0.962889924842164	1.0
156_O-152	71.0	70.0	5.445730867425614	0.963786396821643	0.9998302351243528
157_O-152	69.0	69.0	5.451395219422399	0.9636510950666674	1.0
158_O-152	68.0	68.0	5.4649047426416235	0.9648545602348694	1.0
