	chao1	observed_otus	shannon	simpson	goods_coverage
199_OMC-446	1.0	1.0	-0.0	0.0	1.0
19_OMC-446	1.0	1.0	-0.0	0.0	1.0
1_OMC-446	1.0	1.0	-0.0	0.0	1.0
200_OMC-446	1.0	1.0	-0.0	0.0	1.0
201_OMC-446	1.0	1.0	-0.0	0.0	1.0
202_OMC-446	1.0	1.0	-0.0	0.0	1.0
203_OMC-446	1.0	1.0	-0.0	0.0	1.0
204_OMC-446	1.0	1.0	-0.0	0.0	1.0
205_OMC-446	1.0	1.0	-0.0	0.0	1.0
206_OMC-446	1.0	1.0	-0.0	0.0	1.0
207_OMC-446	1.0	1.0	-0.0	0.0	1.0
208_OMC-446	1.0	1.0	-0.0	0.0	1.0
209_OMC-446	1.0	1.0	-0.0	0.0	1.0
20_OMC-446	1.0	1.0	-0.0	0.0	1.0
210_OMC-446	1.0	1.0	-0.0	0.0	1.0
211_OMC-446	1.0	1.0	-0.0	0.0	1.0
212_OMC-446	1.0	1.0	-0.0	0.0	1.0
213_OMC-446	1.0	1.0	-0.0	0.0	1.0
214_OMC-446	1.0	1.0	-0.0	0.0	1.0
215_OMC-446	1.0	1.0	-0.0	0.0	1.0
216_OMC-446	1.0	1.0	-0.0	0.0	1.0
217_OMC-446	1.0	1.0	-0.0	0.0	1.0
218_OMC-446	1.0	1.0	-0.0	0.0	1.0
219_OMC-446	1.0	1.0	-0.0	0.0	1.0
21_OMC-446	1.0	1.0	-0.0	0.0	1.0
220_OMC-446	1.0	1.0	-0.0	0.0	1.0
221_OMC-446	1.0	1.0	-0.0	0.0	1.0
222_OMC-446	1.0	1.0	-0.0	0.0	1.0
223_OMC-446	1.0	1.0	-0.0	0.0	1.0
224_OMC-446	1.0	1.0	-0.0	0.0	1.0
225_OMC-446	1.0	1.0	-0.0	0.0	1.0
226_OMC-446	1.0	1.0	-0.0	0.0	1.0
227_OMC-446	1.0	1.0	-0.0	0.0	1.0
228_OMC-446	1.0	1.0	-0.0	0.0	1.0
229_OMC-446	0.0	0.0	nan	nan	nan
22_OMC-446	1.0	1.0	-0.0	0.0	1.0
230_OMC-446	1.0	1.0	-0.0	0.0	1.0
231_OMC-446	1.0	1.0	-0.0	0.0	1.0
232_OMC-446	1.0	1.0	-0.0	0.0	1.0
233_OMC-446	1.0	1.0	-0.0	0.0	1.0
234_OMC-446	1.0	1.0	-0.0	0.0	1.0
235_OMC-446	1.0	1.0	-0.0	0.0	1.0
236_OMC-446	1.0	1.0	-0.0	0.0	1.0
237_OMC-446	1.0	1.0	-0.0	0.0	1.0
238_OMC-446	1.0	1.0	-0.0	0.0	1.0
239_OMC-446	1.0	1.0	-0.0	0.0	1.0
23_OMC-446	1.0	1.0	-0.0	0.0	1.0
240_OMC-446	1.0	1.0	-0.0	0.0	1.0
241_OMC-446	1.0	1.0	-0.0	0.0	1.0
242_OMC-446	1.0	1.0	-0.0	0.0	1.0
243_OMC-446	1.0	1.0	-0.0	0.0	1.0
244_OMC-446	1.0	1.0	-0.0	0.0	1.0
245_OMC-446	1.0	1.0	-0.0	0.0	1.0
246_OMC-446	1.0	1.0	-0.0	0.0	1.0
247_OMC-446	1.0	1.0	-0.0	0.0	1.0
248_OMC-446	1.0	1.0	-0.0	0.0	1.0
249_OMC-446	1.0	1.0	-0.0	0.0	1.0
24_OMC-446	1.0	1.0	-0.0	0.0	1.0
250_OMC-446	1.0	1.0	-0.0	0.0	1.0
251_OMC-446	1.0	1.0	-0.0	0.0	1.0
252_OMC-446	1.0	1.0	-0.0	0.0	1.0
253_OMC-446	1.0	1.0	-0.0	0.0	1.0
254_OMC-446	1.0	1.0	-0.0	0.0	1.0
255_OMC-446	1.0	1.0	-0.0	0.0	1.0
256_OMC-446	1.0	1.0	-0.0	0.0	1.0
257_OMC-446	1.0	1.0	-0.0	0.0	1.0
258_OMC-446	1.0	1.0	-0.0	0.0	1.0
259_OMC-446	1.0	1.0	-0.0	0.0	1.0
25_OMC-446	1.0	1.0	-0.0	0.0	1.0
260_OMC-446	1.0	1.0	-0.0	0.0	1.0
261_OMC-446	1.0	1.0	-0.0	0.0	1.0
262_OMC-446	1.0	1.0	-0.0	0.0	1.0
263_OMC-446	1.0	1.0	-0.0	0.0	1.0
264_OMC-446	1.0	1.0	-0.0	0.0	1.0
265_OMC-446	1.0	1.0	-0.0	0.0	1.0
266_OMC-446	1.0	1.0	-0.0	0.0	1.0
267_OMC-446	1.0	1.0	-0.0	0.0	1.0
268_OMC-446	1.0	1.0	-0.0	0.0	1.0
269_OMC-446	0.0	0.0	nan	nan	nan
26_OMC-446	1.0	1.0	-0.0	0.0	1.0
270_OMC-446	1.0	1.0	-0.0	0.0	1.0
271_OMC-446	1.0	1.0	-0.0	0.0	1.0
272_OMC-446	1.0	1.0	-0.0	0.0	1.0
273_OMC-446	1.0	1.0	-0.0	0.0	1.0
274_OMC-446	1.0	1.0	-0.0	0.0	1.0
275_OMC-446	1.0	1.0	-0.0	0.0	1.0
276_OMC-446	1.0	1.0	-0.0	0.0	1.0
277_OMC-446	1.0	1.0	-0.0	0.0	1.0
278_OMC-446	1.0	1.0	-0.0	0.0	1.0
279_OMC-446	1.0	1.0	-0.0	0.0	1.0
27_OMC-446	1.0	1.0	-0.0	0.0	1.0
280_OMC-446	1.0	1.0	-0.0	0.0	1.0
281_OMC-446	1.0	1.0	-0.0	0.0	1.0
282_OMC-446	1.0	1.0	-0.0	0.0	1.0
283_OMC-446	1.0	1.0	-0.0	0.0	1.0
284_OMC-446	1.0	1.0	-0.0	0.0	1.0
285_OMC-446	1.0	1.0	-0.0	0.0	1.0
286_OMC-446	1.0	1.0	-0.0	0.0	1.0
287_OMC-446	1.0	1.0	-0.0	0.0	1.0
288_OMC-446	1.0	1.0	-0.0	0.0	1.0
289_OMC-446	1.0	1.0	-0.0	0.0	1.0
28_OMC-446	1.0	1.0	-0.0	0.0	1.0
290_OMC-446	1.0	1.0	-0.0	0.0	1.0
291_OMC-446	1.0	1.0	-0.0	0.0	1.0
292_OMC-446	1.0	1.0	-0.0	0.0	1.0
293_OMC-446	1.0	1.0	-0.0	0.0	0.0
294_OMC-446	1.0	1.0	-0.0	0.0	1.0
295_OMC-446	1.0	1.0	-0.0	0.0	1.0
296_OMC-446	1.0	1.0	-0.0	0.0	1.0
297_OMC-446	1.0	1.0	-0.0	0.0	1.0
298_OMC-446	1.0	1.0	-0.0	0.0	1.0
299_OMC-446	1.0	1.0	-0.0	0.0	1.0
29_OMC-446	1.0	1.0	-0.0	0.0	1.0
2_OMC-446	1.0	1.0	-0.0	0.0	1.0
300_OMC-446	1.0	1.0	-0.0	0.0	1.0
301_OMC-446	1.0	1.0	-0.0	0.0	1.0
302_OMC-446	1.0	1.0	-0.0	0.0	1.0
303_OMC-446	1.0	1.0	-0.0	0.0	1.0
304_OMC-446	1.0	1.0	-0.0	0.0	1.0
305_OMC-446	1.0	1.0	-0.0	0.0	1.0
306_OMC-446	1.0	1.0	-0.0	0.0	1.0
307_OMC-446	1.0	1.0	-0.0	0.0	1.0
308_OMC-446	1.0	1.0	-0.0	0.0	1.0
309_OMC-446	1.0	1.0	-0.0	0.0	1.0
30_OMC-446	1.0	1.0	-0.0	0.0	1.0
310_OMC-446	1.0	1.0	-0.0	0.0	1.0
311_OMC-446	1.0	1.0	-0.0	0.0	1.0
312_OMC-446	1.0	1.0	-0.0	0.0	1.0
313_OMC-446	1.0	1.0	-0.0	0.0	1.0
314_OMC-446	1.0	1.0	-0.0	0.0	1.0
315_OMC-446	1.0	1.0	-0.0	0.0	1.0
316_OMC-446	1.0	1.0	-0.0	0.0	1.0
317_OMC-446	1.0	1.0	-0.0	0.0	1.0
318_OMC-446	1.0	1.0	-0.0	0.0	1.0
319_OMC-446	1.0	1.0	-0.0	0.0	1.0
31_OMC-446	1.0	1.0	-0.0	0.0	1.0
320_OMC-446	1.0	1.0	-0.0	0.0	1.0
321_OMC-446	1.0	1.0	-0.0	0.0	1.0
322_OMC-446	1.0	1.0	-0.0	0.0	1.0
323_OMC-446	1.0	1.0	-0.0	0.0	1.0
324_OMC-446	1.0	1.0	-0.0	0.0	1.0
325_OMC-446	1.0	1.0	-0.0	0.0	1.0
326_OMC-446	1.0	1.0	-0.0	0.0	1.0
327_OMC-446	1.0	1.0	-0.0	0.0	1.0
328_OMC-446	1.0	1.0	-0.0	0.0	1.0
329_OMC-446	1.0	1.0	-0.0	0.0	1.0
32_OMC-446	1.0	1.0	-0.0	0.0	1.0
330_OMC-446	1.0	1.0	-0.0	0.0	1.0
331_OMC-446	1.0	1.0	-0.0	0.0	1.0
