	chao1	observed_otus	shannon	simpson	goods_coverage
1000_H-118	0.0	0.0	nan	nan	nan
100_H-118	1.0	1.0	-0.0	0.0	0.0
101_H-118	1.0	1.0	-0.0	0.0	0.0
102_H-118	1.0	1.0	-0.0	0.0	0.0
103_H-118	1.0	1.0	-0.0	0.0	1.0
104_H-118	0.0	0.0	nan	nan	nan
105_H-118	0.0	0.0	nan	nan	nan
106_H-118	1.0	1.0	-0.0	0.0	0.0
107_H-118	1.0	1.0	-0.0	0.0	0.0
108_H-118	0.0	0.0	nan	nan	nan
109_H-118	1.0	1.0	-0.0	0.0	1.0
10_H-118	0.0	0.0	nan	nan	nan
110_H-118	1.0	1.0	-0.0	0.0	0.0
111_H-118	0.0	0.0	nan	nan	nan
112_H-118	0.0	0.0	nan	nan	nan
113_H-118	0.0	0.0	nan	nan	nan
114_H-118	0.0	0.0	nan	nan	nan
115_H-118	0.0	0.0	nan	nan	nan
116_H-118	0.0	0.0	nan	nan	nan
117_H-118	0.0	0.0	nan	nan	nan
118_H-118	1.0	1.0	-0.0	0.0	1.0
119_H-118	1.0	1.0	-0.0	0.0	0.0
11_H-118	1.0	1.0	-0.0	0.0	0.0
120_H-118	0.0	0.0	nan	nan	nan
121_H-118	0.0	0.0	nan	nan	nan
122_H-118	1.0	1.0	-0.0	0.0	1.0
123_H-118	1.0	1.0	-0.0	0.0	0.0
124_H-118	0.0	0.0	nan	nan	nan
125_H-118	1.0	1.0	-0.0	0.0	0.0
126_H-118	0.0	0.0	nan	nan	nan
127_H-118	1.0	1.0	-0.0	0.0	0.0
128_H-118	1.0	1.0	-0.0	0.0	0.0
129_H-118	1.0	1.0	-0.0	0.0	1.0
12_H-118	1.0	1.0	-0.0	0.0	0.0
130_H-118	1.0	1.0	-0.0	0.0	0.0
131_H-118	0.0	0.0	nan	nan	nan
132_H-118	0.0	0.0	nan	nan	nan
133_H-118	1.0	1.0	-0.0	0.0	1.0
134_H-118	1.0	1.0	-0.0	0.0	0.0
135_H-118	1.0	1.0	-0.0	0.0	0.0
136_H-118	0.0	0.0	nan	nan	nan
137_H-118	1.0	1.0	-0.0	0.0	0.0
138_H-118	0.0	0.0	nan	nan	nan
139_H-118	1.0	1.0	-0.0	0.0	0.0
13_H-118	0.0	0.0	nan	nan	nan
140_H-118	0.0	0.0	nan	nan	nan
141_H-118	1.0	1.0	-0.0	0.0	0.0
142_H-118	1.0	1.0	-0.0	0.0	0.0
143_H-118	0.0	0.0	nan	nan	nan
144_H-118	1.0	1.0	-0.0	0.0	0.0
145_H-118	0.0	0.0	nan	nan	nan
146_H-118	1.0	1.0	-0.0	0.0	0.0
147_H-118	0.0	0.0	nan	nan	nan
148_H-118	1.0	1.0	-0.0	0.0	0.0
149_H-118	0.0	0.0	nan	nan	nan
14_H-118	0.0	0.0	nan	nan	nan
150_H-118	1.0	1.0	-0.0	0.0	0.0
151_H-118	1.0	1.0	-0.0	0.0	0.0
152_H-118	1.0	1.0	-0.0	0.0	0.0
153_H-118	0.0	0.0	nan	nan	nan
154_H-118	1.0	1.0	-0.0	0.0	0.0
155_H-118	0.0	0.0	nan	nan	nan
156_H-118	0.0	0.0	nan	nan	nan
157_H-118	0.0	0.0	nan	nan	nan
158_H-118	1.0	1.0	-0.0	0.0	1.0
159_H-118	1.0	1.0	-0.0	0.0	0.0
15_H-118	0.0	0.0	nan	nan	nan
160_H-118	0.0	0.0	nan	nan	nan
161_H-118	0.0	0.0	nan	nan	nan
162_H-118	0.0	0.0	nan	nan	nan
163_H-118	0.0	0.0	nan	nan	nan
164_H-118	1.0	1.0	-0.0	0.0	0.0
165_H-118	0.0	0.0	nan	nan	nan
166_H-118	1.0	1.0	-0.0	0.0	0.0
167_H-118	1.0	1.0	-0.0	0.0	0.0
168_H-118	1.0	1.0	-0.0	0.0	1.0
169_H-118	0.0	0.0	nan	nan	nan
16_H-118	1.0	1.0	-0.0	0.0	1.0
170_H-118	1.0	1.0	-0.0	0.0	0.0
171_H-118	0.0	0.0	nan	nan	nan
172_H-118	0.0	0.0	nan	nan	nan
173_H-118	0.0	0.0	nan	nan	nan
174_H-118	0.0	0.0	nan	nan	nan
175_H-118	0.0	0.0	nan	nan	nan
176_H-118	1.0	1.0	-0.0	0.0	1.0
177_H-118	0.0	0.0	nan	nan	nan
178_H-118	0.0	0.0	nan	nan	nan
179_H-118	1.0	1.0	-0.0	0.0	0.0
17_H-118	0.0	0.0	nan	nan	nan
180_H-118	1.0	1.0	-0.0	0.0	0.0
181_H-118	0.0	0.0	nan	nan	nan
182_H-118	1.0	1.0	-0.0	0.0	1.0
183_H-118	1.0	1.0	-0.0	0.0	0.0
184_H-118	0.0	0.0	nan	nan	nan
185_H-118	1.0	1.0	-0.0	0.0	0.0
186_H-118	0.0	0.0	nan	nan	nan
187_H-118	0.0	0.0	nan	nan	nan
188_H-118	0.0	0.0	nan	nan	nan
189_H-118	1.0	1.0	-0.0	0.0	0.0
18_H-118	0.0	0.0	nan	nan	nan
190_H-118	0.0	0.0	nan	nan	nan
191_H-118	0.0	0.0	nan	nan	nan
192_H-118	0.0	0.0	nan	nan	nan
193_H-118	0.0	0.0	nan	nan	nan
194_H-118	1.0	1.0	-0.0	0.0	1.0
195_H-118	0.0	0.0	nan	nan	nan
196_H-118	0.0	0.0	nan	nan	nan
197_H-118	1.0	1.0	-0.0	0.0	0.0
