	chao1	observed_otus	shannon	simpson	goods_coverage
1000_H-161	0.0	0.0	nan	nan	nan
100_H-161	1.0	1.0	-0.0	0.0	1.0
101_H-161	0.0	0.0	nan	nan	nan
102_H-161	0.0	0.0	nan	nan	nan
103_H-161	0.0	0.0	nan	nan	nan
104_H-161	0.0	0.0	nan	nan	nan
105_H-161	0.0	0.0	nan	nan	nan
106_H-161	3.0	2.0	1.0	0.5	0.0
107_H-161	0.0	0.0	nan	nan	nan
108_H-161	0.0	0.0	nan	nan	nan
109_H-161	0.0	0.0	nan	nan	nan
10_H-161	0.0	0.0	nan	nan	nan
110_H-161	0.0	0.0	nan	nan	nan
111_H-161	0.0	0.0	nan	nan	nan
112_H-161	0.0	0.0	nan	nan	nan
113_H-161	0.0	0.0	nan	nan	nan
114_H-161	0.0	0.0	nan	nan	nan
115_H-161	0.0	0.0	nan	nan	nan
116_H-161	0.0	0.0	nan	nan	nan
117_H-161	0.0	0.0	nan	nan	nan
118_H-161	0.0	0.0	nan	nan	nan
119_H-161	0.0	0.0	nan	nan	nan
11_H-161	0.0	0.0	nan	nan	nan
120_H-161	0.0	0.0	nan	nan	nan
121_H-161	0.0	0.0	nan	nan	nan
122_H-161	0.0	0.0	nan	nan	nan
123_H-161	0.0	0.0	nan	nan	nan
124_H-161	0.0	0.0	nan	nan	nan
125_H-161	0.0	0.0	nan	nan	nan
126_H-161	0.0	0.0	nan	nan	nan
127_H-161	0.0	0.0	nan	nan	nan
128_H-161	0.0	0.0	nan	nan	nan
129_H-161	0.0	0.0	nan	nan	nan
12_H-161	0.0	0.0	nan	nan	nan
130_H-161	0.0	0.0	nan	nan	nan
131_H-161	1.0	1.0	-0.0	0.0	1.0
132_H-161	0.0	0.0	nan	nan	nan
133_H-161	0.0	0.0	nan	nan	nan
134_H-161	0.0	0.0	nan	nan	nan
135_H-161	0.0	0.0	nan	nan	nan
136_H-161	0.0	0.0	nan	nan	nan
137_H-161	0.0	0.0	nan	nan	nan
138_H-161	1.0	1.0	-0.0	0.0	1.0
139_H-161	0.0	0.0	nan	nan	nan
13_H-161	0.0	0.0	nan	nan	nan
140_H-161	0.0	0.0	nan	nan	nan
141_H-161	0.0	0.0	nan	nan	nan
142_H-161	0.0	0.0	nan	nan	nan
143_H-161	0.0	0.0	nan	nan	nan
144_H-161	0.0	0.0	nan	nan	nan
145_H-161	0.0	0.0	nan	nan	nan
146_H-161	0.0	0.0	nan	nan	nan
147_H-161	0.0	0.0	nan	nan	nan
148_H-161	0.0	0.0	nan	nan	nan
149_H-161	0.0	0.0	nan	nan	nan
14_H-161	0.0	0.0	nan	nan	nan
150_H-161	0.0	0.0	nan	nan	nan
151_H-161	3.0	2.0	1.0	0.5	0.0
152_H-161	0.0	0.0	nan	nan	nan
153_H-161	0.0	0.0	nan	nan	nan
154_H-161	0.0	0.0	nan	nan	nan
155_H-161	0.0	0.0	nan	nan	nan
156_H-161	1.0	1.0	-0.0	0.0	1.0
157_H-161	0.0	0.0	nan	nan	nan
158_H-161	0.0	0.0	nan	nan	nan
159_H-161	0.0	0.0	nan	nan	nan
15_H-161	0.0	0.0	nan	nan	nan
160_H-161	3.0	2.0	1.0	0.5	0.0
161_H-161	0.0	0.0	nan	nan	nan
162_H-161	0.0	0.0	nan	nan	nan
163_H-161	0.0	0.0	nan	nan	nan
164_H-161	0.0	0.0	nan	nan	nan
165_H-161	0.0	0.0	nan	nan	nan
166_H-161	0.0	0.0	nan	nan	nan
167_H-161	0.0	0.0	nan	nan	nan
168_H-161	0.0	0.0	nan	nan	nan
169_H-161	1.0	1.0	-0.0	0.0	1.0
16_H-161	0.0	0.0	nan	nan	nan
170_H-161	0.0	0.0	nan	nan	nan
171_H-161	0.0	0.0	nan	nan	nan
172_H-161	3.0	2.0	1.0	0.5	0.0
173_H-161	0.0	0.0	nan	nan	nan
174_H-161	0.0	0.0	nan	nan	nan
175_H-161	0.0	0.0	nan	nan	nan
176_H-161	0.0	0.0	nan	nan	nan
177_H-161	0.0	0.0	nan	nan	nan
178_H-161	0.0	0.0	nan	nan	nan
179_H-161	0.0	0.0	nan	nan	nan
17_H-161	0.0	0.0	nan	nan	nan
180_H-161	0.0	0.0	nan	nan	nan
181_H-161	0.0	0.0	nan	nan	nan
182_H-161	0.0	0.0	nan	nan	nan
183_H-161	0.0	0.0	nan	nan	nan
184_H-161	0.0	0.0	nan	nan	nan
185_H-161	0.0	0.0	nan	nan	nan
186_H-161	0.0	0.0	nan	nan	nan
187_H-161	0.0	0.0	nan	nan	nan
188_H-161	0.0	0.0	nan	nan	nan
189_H-161	0.0	0.0	nan	nan	nan
18_H-161	0.0	0.0	nan	nan	nan
190_H-161	3.0	2.0	1.0	0.5	0.0
191_H-161	0.0	0.0	nan	nan	nan
192_H-161	0.0	0.0	nan	nan	nan
193_H-161	0.0	0.0	nan	nan	nan
194_H-161	0.0	0.0	nan	nan	nan
195_H-161	0.0	0.0	nan	nan	nan
196_H-161	0.0	0.0	nan	nan	nan
