	chao1	observed_otus	shannon	simpson	goods_coverage
200_H-193	0.0	0.0	nan	nan	nan
201_H-193	0.0	0.0	nan	nan	nan
202_H-193	3.0	2.0	1.0	0.5	0.0
203_H-193	0.0	0.0	nan	nan	nan
204_H-193	1.0	1.0	-0.0	0.0	1.0
205_H-193	1.0	1.0	-0.0	0.0	1.0
206_H-193	1.0	1.0	-0.0	0.0	1.0
207_H-193	2.0	2.0	0.8112781244591328	0.375	0.75
208_H-193	2.0	2.0	0.8112781244591328	0.375	0.75
209_H-193	0.0	0.0	nan	nan	nan
20_H-193	1.0	1.0	-0.0	0.0	0.0
210_H-193	0.0	0.0	nan	nan	nan
211_H-193	1.0	1.0	-0.0	0.0	1.0
212_H-193	1.0	1.0	-0.0	0.0	0.0
213_H-193	1.0	1.0	-0.0	0.0	0.0
214_H-193	1.0	1.0	-0.0	0.0	0.0
215_H-193	2.0	2.0	0.9182958340544894	0.4444444444444444	0.6666666666666667
216_H-193	2.0	2.0	0.7219280948873623	0.31999999999999984	0.8
217_H-193	0.0	0.0	nan	nan	nan
218_H-193	1.0	1.0	-0.0	0.0	0.0
219_H-193	3.5	3.0	1.5	0.625	0.5
21_H-193	0.0	0.0	nan	nan	nan
220_H-193	2.0	2.0	0.9182958340544894	0.4444444444444444	0.6666666666666667
221_H-193	3.0	2.0	1.0	0.5	0.0
222_H-193	1.0	1.0	-0.0	0.0	1.0
223_H-193	3.0	2.0	1.0	0.5	0.0
224_H-193	1.0	1.0	-0.0	0.0	1.0
225_H-193	2.0	2.0	0.5916727785823274	0.24489795918367352	0.8571428571428572
226_H-193	1.0	1.0	-0.0	0.0	1.0
227_H-193	0.0	0.0	nan	nan	nan
228_H-193	0.0	0.0	nan	nan	nan
229_H-193	0.0	0.0	nan	nan	nan
22_H-193	0.0	0.0	nan	nan	nan
230_H-193	2.0	2.0	0.7219280948873623	0.31999999999999984	0.8
231_H-193	1.0	1.0	-0.0	0.0	1.0
232_H-193	3.0	2.0	1.0	0.5	0.0
233_H-193	2.0	2.0	0.9182958340544894	0.4444444444444444	0.6666666666666667
234_H-193	0.0	0.0	nan	nan	nan
235_H-193	1.0	1.0	-0.0	0.0	0.0
236_H-193	1.0	1.0	-0.0	0.0	1.0
237_H-193	1.0	1.0	-0.0	0.0	1.0
238_H-193	4.0	3.0	1.2516291673878228	0.5	0.6666666666666667
239_H-193	0.0	0.0	nan	nan	nan
23_H-193	3.5	3.0	1.5	0.625	0.5
240_H-193	4.0	3.0	1.370950594454669	0.5599999999999999	0.6
241_H-193	1.0	1.0	-0.0	0.0	1.0
242_H-193	3.0	2.0	1.0	0.5	0.0
243_H-193	0.0	0.0	nan	nan	nan
244_H-193	1.0	1.0	-0.0	0.0	0.0
245_H-193	0.0	0.0	nan	nan	nan
246_H-193	3.0	2.0	1.0	0.5	0.0
247_H-193	1.0	1.0	-0.0	0.0	0.0
248_H-193	3.0	2.0	1.0	0.5	0.0
249_H-193	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
24_H-193	0.0	0.0	nan	nan	nan
250_H-193	2.0	2.0	0.9182958340544894	0.4444444444444444	0.6666666666666667
251_H-193	1.0	1.0	-0.0	0.0	1.0
252_H-193	1.0	1.0	-0.0	0.0	1.0
253_H-193	2.0	2.0	0.9182958340544894	0.4444444444444444	0.6666666666666667
254_H-193	0.0	0.0	nan	nan	nan
255_H-193	0.0	0.0	nan	nan	nan
256_H-193	2.0	2.0	0.8112781244591328	0.375	0.75
257_H-193	1.0	1.0	-0.0	0.0	0.0
258_H-193	1.0	1.0	-0.0	0.0	1.0
259_H-193	0.0	0.0	nan	nan	nan
25_H-193	1.0	1.0	-0.0	0.0	1.0
260_H-193	1.0	1.0	-0.0	0.0	0.0
261_H-193	1.0	1.0	-0.0	0.0	1.0
262_H-193	3.5	3.0	1.5	0.625	0.5
263_H-193	3.0	2.0	1.0	0.5	0.0
264_H-193	2.0	2.0	0.9182958340544894	0.4444444444444444	0.6666666666666667
265_H-193	1.0	1.0	-0.0	0.0	0.0
266_H-193	4.0	3.0	1.2516291673878228	0.5	0.6666666666666667
267_H-193	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
268_H-193	0.0	0.0	nan	nan	nan
269_H-193	0.0	0.0	nan	nan	nan
26_H-193	1.0	1.0	-0.0	0.0	1.0
270_H-193	1.0	1.0	-0.0	0.0	0.0
271_H-193	4.0	3.0	1.370950594454669	0.5599999999999999	0.6
272_H-193	3.0	2.0	1.0	0.5	0.0
273_H-193	1.0	1.0	-0.0	0.0	0.0
274_H-193	0.0	0.0	nan	nan	nan
275_H-193	1.0	1.0	-0.0	0.0	0.0
276_H-193	0.0	0.0	nan	nan	nan
277_H-193	1.0	1.0	-0.0	0.0	1.0
278_H-193	2.0	2.0	0.9182958340544894	0.4444444444444444	0.6666666666666667
279_H-193	2.0	2.0	0.8112781244591328	0.375	0.75
27_H-193	1.0	1.0	-0.0	0.0	1.0
280_H-193	1.0	1.0	-0.0	0.0	1.0
281_H-193	3.0	2.0	1.0	0.5	0.0
282_H-193	3.0	2.0	1.0	0.5	0.0
283_H-193	0.0	0.0	nan	nan	nan
284_H-193	3.0	2.0	1.0	0.5	0.0
285_H-193	2.0	2.0	0.8112781244591328	0.375	0.75
286_H-193	0.0	0.0	nan	nan	nan
287_H-193	1.0	1.0	-0.0	0.0	1.0
288_H-193	3.0	2.0	1.0	0.5	0.0
289_H-193	1.0	1.0	-0.0	0.0	1.0
28_H-193	0.0	0.0	nan	nan	nan
290_H-193	1.0	1.0	-0.0	0.0	0.0
291_H-193	2.0	2.0	0.9182958340544894	0.4444444444444444	0.6666666666666667
292_H-193	1.0	1.0	-0.0	0.0	0.0
293_H-193	3.0	2.0	1.0	0.5	0.0
294_H-193	0.0	0.0	nan	nan	nan
295_H-193	1.0	1.0	-0.0	0.0	0.0
296_H-193	1.0	1.0	-0.0	0.0	0.0
297_H-193	2.0	2.0	0.8112781244591328	0.375	0.75
