	chao1	observed_otus	shannon	simpson	goods_coverage
1000_H-193	17.5	17.0	3.6022895405428708	0.8925619834710744	0.961038961038961
100_H-193	15.428571428571429	14.0	2.797585353966071	0.7346938775510204	0.8979591836734694
101_H-193	15.5	14.0	2.831666202164906	0.7716712065374138	0.9493670886075949
102_H-193	14.25	14.0	3.2817776036401862	0.8598229620821773	0.9770114942528736
103_H-193	20.5	18.0	3.6907914650948648	0.9034375	0.9375
104_H-193	15.125	15.0	3.219393423049594	0.8379289823447729	0.971830985915493
105_H-193	18.0	16.0	3.39616509142884	0.867245846669715	0.9506172839506173
106_H-193	15.0	14.0	3.1053997055951106	0.8186878057007927	0.961038961038961
107_H-193	11.333333333333334	11.0	3.0631864801932376	0.8468809073724007	0.9565217391304348
108_H-193	17.6	17.0	3.655762762668899	0.8962725586102209	0.961038961038961
109_H-193	14.0	14.0	3.435966908653894	0.8795266272189349	0.9846153846153847
10_H-193	13.0	13.0	3.2344797632266915	0.8488372093023255	1.0
110_H-193	17.0	16.0	3.257408305551948	0.83056640625	0.9375
111_H-193	15.5	15.0	3.121101772725011	0.8192520775623269	0.9605263157894737
112_H-193	18.6	18.0	3.681826529891329	0.8898633833698769	0.961038961038961
113_H-193	14.25	14.0	3.4224070314928468	0.8891937204694407	0.9753086419753086
114_H-193	16.0	14.0	3.327362017062466	0.8759765625	0.9375
115_H-193	13.0	12.0	2.641640216070085	0.7314285714285714	0.9571428571428572
116_H-193	15.0	15.0	3.4476531290858303	0.8782197835695779	0.9876543209876543
117_H-193	15.0	14.0	3.215146184220899	0.848189153687371	0.9589041095890412
118_H-193	14.0	14.0	3.2423479625112432	0.8446875	1.0
119_H-193	14.6	14.0	3.1550846004493858	0.8269916765755053	0.9482758620689655
11_H-193	14.0	14.0	3.2629728028713196	0.8400100781053161	0.9841269841269842
120_H-193	13.0	13.0	3.428829681625851	0.8935111111111111	0.9866666666666667
121_H-193	12.0	12.0	3.3584035153523977	0.8845663265306123	1.0
122_H-193	16.6	16.0	3.579463872255536	0.8876759551852915	0.9491525423728814
123_H-193	15.2	15.0	3.400941597777373	0.8681632653061224	0.9714285714285714
124_H-193	17.0	17.0	3.4738115256703748	0.8544340386171811	0.989247311827957
125_H-193	16.5	16.0	3.1973526126492007	0.8093877551020408	0.9571428571428572
126_H-193	15.0	13.0	3.0105833812369296	0.8131377551020409	0.9285714285714286
127_H-193	15.0	14.0	3.2638769473650835	0.8494801512287334	0.9782608695652174
128_H-193	18.0	15.0	3.432175277327339	0.8831581035508828	0.9436619718309859
129_H-193	15.0	15.0	3.480418297887509	0.8804872925855912	0.9855072463768116
