sample	group	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Collinsella	Bacteroides	Bacilli	Eubacterium
H-10	NW	0.779084131	0.779084131	0.779084131	0.534058535	0.534058535	0.000200312	0.221411084	8.90E-05	0.001277456
H-118	NW	0.836443817	0.836443817	0.836443817	0.776421474	0.776421474	0.000470395	0.045357794	0.000270477	0.014193305
H-119	NW	0.708559037	0.708559037	0.708559037	0.010110974	0.010110974	0.000263617	0.645903312	0.000280624	0.000247993
H-120	NW	0.68604851	0.68604851	0.68604851	0.533777243	0.533777243	0.000542824	0.121954529	0.000488542	0.000163797
H-161	NW	0.610820335	0.610820335	0.610820335	0.070482282	0.070482282	1.31E-05	0.460967174	0.001226914	0.000247993
H-193	NW	0.850375241	0.850375241	0.850375241	0.006061039	0.006061039	0	0.818268887	0.000142949	1.96E-05
H-314	NW	0.536465964	0.536465964	0.536465964	0.144945231	0.144945231	0.000395358	0.280087909	0.000162794	2.35E-05
O-121	O	0.403940816	0.403940816	0.403940816	0.011428653	0.011428653	4.28E-05	0.212978156	0.000156948	3.62E-05
O-122	O	0.435522264	0.435522264	0.435522264	0.002305452	0.002305452	0.000524345	0.404069913	0.008555972	0.001369591
O-123	O	0.459942641	0.459942641	0.459942641	0.013554816	0.013554816	0.002103875	0.299786472	0.013847893	0.000178579
O-152	O	0.625138971	0.625138971	0.625138971	0.006528428	0.006528428	0.000542958	0.571295602	9.05E-05	0.000248164
O-39	O	0.659279597	0.659279597	0.659279597	0.294569581	0.294569581	0.002638381	0.336670518	0.000220361	0.004193605
O-418	O	0.822468333	0.822468333	0.822468333	0.015789474	0.015789474	2.71E-05	0.776407234	0.001652781	0.000376282
O-420	O	0.635947446	0.635947446	0.635947446	0.001630554	0.001630554	0.000972061	0.569659151	0.000407639	0.002790763
O-434	O	0.615169145	0.615169145	0.615169145	0.5120076	0.5120076	0.00045053	0.095159742	0.001410354	0.000379327
O-445	O	0.243381617	0.243381617	0.243381617	0.002611687	0.002611687	0.001346112	0.221280072	0.001656753	2.78E-05
OMC-124	OMC	0.839844573	0.839844573	0.839844573	0.687547254	6.88E-01	0.000322257	1.23E-01	0.00011155	0.001369591
OMC-125	OMC	0.426229508	0.426229508	0.426229508	0.002029108	0.002029108	0.000335752	0.300074449	0.000846678	0.012953676
OMC-126	OMC	0.40370409	0.40370409	0.40370409	0.002294415	0.002294415	0.002733309	0.379795241	0.003441623	0.000748881
OMC-288	OMC	0.507905885	0.507905885	0.507905885	0.424806101	0.424806101	0.00074301	0.039783615	0.000964609	0.000153921
OMC-446	OMC	0.354566301	0.354566301	0.354566301	0.030675572	0.030675572	0.007116078	0.2965366	0.001292178	4.29E-05
