# Constructed from biom file																							
#OTU ID	H-10	H-118	H-119	H-120	H-161	H-193	H-314	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	O-445	OMC-124	OMC-125	OMC-126	OMC-288	OMC-446	OMC-55	taxonomy
ALPHA-1_HvCF_D1_ms_1	55	0	3	0	0	0	0	0	0	41	113	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_D1_ms_1
ALPHA-1_HvCF_D3_ms_2	5	0	184	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_D3_ms_2
ALPHA-1_HvCF_D6_ms_5	72	0	6	0	0	0	0	0	0	36	117	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_D6_ms_5
ALPHA-1_HvCF_E10_ms_1	65	0	4	0	0	0	0	0	0	34	104	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_E10_ms_1
ALPHA-1_HvCF_E5_ms_1	60	0	6	0	0	0	0	0	0	31	116	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_E5_ms_1
ALPHA-1_HvCF_E6_ms_1	59	0	4	0	0	0	0	0	0	35	97	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_E6_ms_1
ALPHA-1_HvCF_E8_ms_1	52	0	5	0	0	0	0	0	0	34	92	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_E8_ms_1
ALPHA-1_HvCF_F2_ms_2	87	0	14	0	0	0	0	0	0	46	129	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_F2_ms_2
ALPHA-1_Inf008_s_1	70	0	3	0	0	0	0	0	0	42	82	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_Inf008_s_1
ALPHA-1_Inf058_s_2	50	0	4	0	0	0	0	0	0	44	87	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_Inf058_s_2
ALPHA-1_Inf107_s_1	62	0	18	0	0	0	0	0	0	56	98	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_Inf107_s_1
ALPHA-1_Inf117_s_1	43	0	3	0	0	0	0	0	0	29	88	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_Inf117_s_1
ALPHA-1_JQ995537.1_Uncultured_phage_crAssphage_complete_genome	120	0	6	0	0	0	0	0	0	112	158	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_JQ995537.1_Uncultured_phage_crAssphage_complete_genome
ALPHA-1_SRR073434_s_1	84	0	14	0	0	0	0	0	0	97	290	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_SRR073434_s_1
ALPHA-1_SRR073438_s_1	94	0	5	0	0	0	0	0	0	72	111	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_SRR073438_s_1
ALPHA-1_SRR073439_s_1	68	0	4	0	0	0	0	0	0	38	83	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_SRR073439_s_1
ALPHA-1_SRR4295172_ms_8	80	0	28	0	0	0	0	0	0	49	196	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_SRR4295172_ms_8
ALPHA-1_cf1_ms_1_1	63	0	13	0	0	0	0	0	0	34	120	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_cf1_ms_1_1
ALPHA-1_cs_ms_20_1	50	0	5	0	0	0	0	0	0	27	99	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_cs_ms_20_1
